numeroLicitacao;dataLicitacao;tipoLicitacao;justificativaDispensaLicitacao;origem_arquivo
392/2019;2020-03-05;Concorr̻ncia p/ Obras e Serv. Eng.; ;licitacao_00094fc9-8f52-4974-b574-0b2646c68aaa.csv
12/2020;2020-02-21;Preg̣o Presencial; ;licitacao_000a26a1-a9e4-43b5-a52e-a5066efad710.csv
184/2019;2016-06-05;Preg̣o Presencial; ;licitacao_0011c833-83b7-498e-bf30-249f7d8ed078.csv
80/2019;2019-12-13;Preg̣o Presencial; ;licitacao_00257169-8c8b-476c-976f-1842fddefea3.csv
301/2019;2019-09-30;Preg̣o Presencial; ;licitacao_003bce64-22f5-4a9a-a0e2-0b208c62b9e2.csv
65/2019;2019-10-22;Preg̣o Presencial; ;licitacao_0042bf2a-14ff-4e24-9e65-5a918bffadbf.csv
93/2020;2020-10-06;Preg̣o Presencial; ;licitacao_004f7289-0dc3-4636-a084-f4769f5a53e6.csv
73;2020-08-03;Preg̣o Presencial; ;licitacao_0059add1-94f3-4bbb-b68b-33c819d97748.csv
65/2020;2020-04-22;Preg̣o Presencial; ;licitacao_005ad590-b9d7-4413-9afa-ff2c07ef3d60.csv
222/2019;2019-07-04;Preg̣o Presencial; ;licitacao_006a9e58-7eb0-4d00-8d3a-5199e63a913a.csv
116/2020;2020-05-18;Preg̣o Presencial; ;licitacao_0070cfd1-1d5b-41f7-bc7b-60179ab9e009.csv
174/2019;2019-05-28;Preg̣o Presencial; ;licitacao_0073ed2a-eee7-422e-9dec-c12fab7b4a99.csv
123/2020;2020-06-03;Preg̣o Presencial; ;licitacao_0074c9b8-63e6-4e3e-a57a-0dd467092f02.csv
64/2019;2019-03-19;Preg̣o Presencial; ;licitacao_007b7195-9f54-404c-b720-5af7e726dce1.csv
301/2020;2020-12-17;Preg̣o Presencial; ;licitacao_0082af30-09a3-4227-a064-9ba7b31611f5.csv
127/2020;2020-06-08;Preg̣o Presencial; ;licitacao_008c670b-caf7-411c-966c-482d8f3e3f8f.csv
74/2019;2019-04-09;Preg̣o Presencial; ;licitacao_009642d7-1656-4ecb-8023-896cf8fd8d9a.csv
151/2020;2020-06-30;Preg̣o Presencial; ;licitacao_0096653b-c66a-49fc-acbc-ca442c4e6968.csv
1/2020;2020-03-17;Preg̣o Presencial; ;licitacao_0096fc5a-06d2-4b0a-b877-3ef5e7811513.csv
102/2020;2020-05-12;Preg̣o Presencial; ;licitacao_00a7e13a-8ae8-4e21-91b7-9a7d72b5c212.csv
392/2018;2019-01-11;Preg̣o Presencial; ;licitacao_00a9c782-9f7f-4903-b178-ae6dc5641724.csv
62/2019;2019-10-07;Preg̣o Presencial; ;licitacao_00b31afb-6182-4d84-83e0-7558f6a08ee8.csv
176/2020;2020-08-25;Preg̣o Presencial; ;licitacao_00c6b905-a1d5-4b90-b33e-c0355db279b4.csv
