numeroParcela;valorParcela;dataVencimentoParcela;origem_arquivo
1;2000;2020-02-26;parcelas_012ca56c-a83c-46d5-a7c7-1bb67afde04b.csv
1;115.91;2020-07-07;parcelas_01317157-cff9-4064-b5df-6633689e2412.csv
1;84600;2020-01-16;parcelas_01359cf3-ad83-4b43-bd62-24993d8dcad7.csv
1;7140;2020-05-05;parcelas_01366288-a2ee-4b1b-ad91-2065012f54c8.csv
1;66.7;2020-04-15;parcelas_0140aee5-95e2-4943-9d10-cc7c9617ec52.csv
1;43532.36;2020-03-26;parcelas_014136cc-bc48-4fef-884c-9ce57980ac13.csv
1;510.67;2020-09-24;parcelas_0141c4e6-3cfc-4992-8cb5-d0aebab77835.csv
1;39600;2020-11-17;parcelas_014d0d31-efb2-4194-9e42-2384de1f2ad4.csv
1;3523.4;2020-06-03;parcelas_01574a18-8e9b-4270-b5c0-407ecc9d5ad4.csv
1;100000;2020-02-21;parcelas_01667919-226b-4ff8-b45d-b84ba3ac4c51.csv
1;1552873.4;2020-07-02;parcelas_016e14e4-2bb5-45e5-bebf-f973fdc5d28c.csv
1;608520.84;2020-01-02;parcelas_017b7719-e23d-4a16-b8de-56a454f43957.csv
1;201231.66;2020-04-29;parcelas_017c6aa3-4474-436d-a9cb-09932443c777.csv
1;537.2;2020-01-29;parcelas_0185ef11-a444-47ca-8d88-9695bd51c250.csv
1;2400;2020-05-20;parcelas_01867182-f298-42d2-8e34-a74dd32de95c.csv
1;76.85;2020-09-22;parcelas_018b0798-3dcf-460f-9124-92b517b12a4d.csv
1;42892.15;2020-10-19;parcelas_018f0327-bd4b-4812-86e5-a6a853c24dec.csv
1;586.57;2020-09-15;parcelas_01965b24-6908-46e0-b26e-92c3994ee224.csv
1;66.7;2020-05-20;parcelas_019b514b-e2f4-4a38-bcf9-2088c9392275.csv
1;29.49;2020-12-21;parcelas_019d3d98-3d99-4ce3-afd2-cb35e573fa1a.csv
1;195104.45;2020-11-27;parcelas_019d61f8-919d-4f80-b630-9d3703f96726.csv
1;48617.32;2020-11-27;parcelas_019e36b0-f3c1-4290-9745-87842da415ab.csv
1;53400.81;2020-03-26;parcelas_01a13316-9285-40c8-abef-159964c4cadd.csv
1;45105.15;2020-03-30;parcelas_01a2dd96-b7aa-4ad7-ba8d-f41a6fffd0bd.csv
1;334.3;2020-11-27;parcelas_01a4e4d3-dceb-44a8-a143-cbb03b59a0c5.csv
1;70;2020-11-25;parcelas_01a7dc1c-b182-491a-86e1-380af9e755fe.csv
1;297923.49;2020-01-29;parcelas_01b3e19f-5169-4cc2-a320-369f5a942436.csv
1;1605161.2;2020-04-29;parcelas_01b708eb-645c-41e5-bdec-d21e2b9bdc0c.csv
1;26630;2020-08-07;parcelas_01bd8bf8-68bf-4f44-8b89-061305f1710a.csv
1;30868.3;2020-01-14;parcelas_01c3396a-f281-4753-844a-2321aa289572.csv
1;222716.95;2020-02-13;parcelas_01c4976d-6b5c-43d1-8407-94fc9411c8a9.csv
1;731.29;2020-04-30;parcelas_01c4dec5-cd98-4653-b0fa-9d023eabd045.csv
1;1500;2020-05-13;parcelas_01cc6c9c-2942-4b6c-bc02-cd272711b65f.csv
1;66.7;2020-01-27;parcelas_01cd8ffc-5bb8-4a8d-b6c0-0a3468d2fd7f.csv
1;383.4;2020-07-03;parcelas_01d02de8-267c-445b-95d8-ba7c701b0ace.csv
1;3083.85;2020-04-09;parcelas_01d1ec8c-bd88-4f65-afbb-01a771f2abef.csv
1;48;2020-09-29;parcelas_01d27593-c1e4-4491-b05b-f7ec7c243c94.csv
