anoRetencao;dataRetencao;valorRetido;origem_arquivo
2020;2020-04-30;46.91;retencoesLiquidacao_00010e17-473b-46c1-99d2-2853860a1c85.csv
2020;2020-04-30;35.18;retencoesLiquidacao_00010e17-473b-46c1-99d2-2853860a1c85.csv
2020;2020-11-06;10.4;retencoesLiquidacao_000a5070-b02c-4b4d-b359-977c008e9d3d.csv
2020;2020-10-29;513;retencoesLiquidacao_00155b88-0d1f-4720-b62c-5d68fc8ba8d7.csv
2020;2020-10-29;2915.06;retencoesLiquidacao_00155b88-0d1f-4720-b62c-5d68fc8ba8d7.csv
2020;2020-10-29;12567.32;retencoesLiquidacao_00155b88-0d1f-4720-b62c-5d68fc8ba8d7.csv
2020;2020-10-29;4602.13;retencoesLiquidacao_00155b88-0d1f-4720-b62c-5d68fc8ba8d7.csv
2020;2020-10-29;1178;retencoesLiquidacao_00155b88-0d1f-4720-b62c-5d68fc8ba8d7.csv
2020;2020-10-29;1118.26;retencoesLiquidacao_00155b88-0d1f-4720-b62c-5d68fc8ba8d7.csv
2020;2020-10-29;3262.8;retencoesLiquidacao_00155b88-0d1f-4720-b62c-5d68fc8ba8d7.csv
2020;2020-10-29;15685.35;retencoesLiquidacao_00155b88-0d1f-4720-b62c-5d68fc8ba8d7.csv
2020;2020-10-29;10;retencoesLiquidacao_00155b88-0d1f-4720-b62c-5d68fc8ba8d7.csv
2020;2020-10-29;3132.82;retencoesLiquidacao_00155b88-0d1f-4720-b62c-5d68fc8ba8d7.csv
2020;2020-10-29;331.23;retencoesLiquidacao_00155b88-0d1f-4720-b62c-5d68fc8ba8d7.csv
2020;2020-10-29;6256.74;retencoesLiquidacao_00155b88-0d1f-4720-b62c-5d68fc8ba8d7.csv
2020;2020-10-29;187155.73;retencoesLiquidacao_00155b88-0d1f-4720-b62c-5d68fc8ba8d7.csv
2020;2020-10-29;161669.14;retencoesLiquidacao_00155b88-0d1f-4720-b62c-5d68fc8ba8d7.csv
2020;2020-10-29;31691.32;retencoesLiquidacao_00155b88-0d1f-4720-b62c-5d68fc8ba8d7.csv
2020;2020-10-29;2772.46;retencoesLiquidacao_00155b88-0d1f-4720-b62c-5d68fc8ba8d7.csv
2020;2020-10-29;32665.49;retencoesLiquidacao_00155b88-0d1f-4720-b62c-5d68fc8ba8d7.csv
2020;2020-10-27;199.01;retencoesLiquidacao_001fb72a-4c42-42ce-a146-17831f28595e.csv
2020;2020-10-27;149.26;retencoesLiquidacao_001fb72a-4c42-42ce-a146-17831f28595e.csv
2020;2020-03-06;17.54;retencoesLiquidacao_0020a1a4-b857-4a2d-baf0-0a0644f5b50a.csv
2020;2020-04-30;56.48;retencoesLiquidacao_00215d3a-d67a-4aa0-82f2-f1c5d8496c69.csv
2020;2020-04-30;42.36;retencoesLiquidacao_00215d3a-d67a-4aa0-82f2-f1c5d8496c69.csv
2020;2020-02-27;8684.18;retencoesLiquidacao_00322afe-fc1e-40f9-aa4c-1cf9e99cb201.csv
2020;2020-02-27;699.12;retencoesLiquidacao_00322afe-fc1e-40f9-aa4c-1cf9e99cb201.csv
2020;2020-02-27;14994;retencoesLiquidacao_00322afe-fc1e-40f9-aa4c-1cf9e99cb201.csv
