idLiquidacao;parcelaEmpenho;dataPagamento;tipoPagamento;banco;agenciaBancaria;contaCorrente;historico;valorPagamento;anulacoesPagamento;retencoesPagamento;origem_arquivo
8790;1;2020-12-01;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;170.97; ; ;pagamentos_000041b7-8df3-4e99-ab6a-24078539a228.csv
287;1;2020-01-30; ; ; ; ; ;12384.87; ;retencoesPagamento_fdf4e124-49ab-473a-ae83-3cf99bae5c40.csv;pagamentos_00011ddb-10a4-4582-b319-549664e0b34b.csv
287;1;2020-01-30;DÃ©bito em conta;104 - CAIXA ECONOMICA FEDERAL S/A;0415-4 - CRICIUMA;32-4      ; ;28812.53; ; ;pagamentos_00011ddb-10a4-4582-b319-549664e0b34b.csv
6311;1;2020-09-10; ; ; ; ; ;53.64; ;retencoesPagamento_e63146b8-ebfc-4c69-9df9-fa85c45fa2e4.csv;pagamentos_000b6d3d-efa4-4320-8b0c-47f2b7431945.csv
6311;1;2020-09-11;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;1468.21; ; ;pagamentos_000b6d3d-efa4-4320-8b0c-47f2b7431945.csv
591;1;2020-02-19;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;34160; ; ;pagamentos_000e7df3-3236-49dd-8cbd-15aab501a575.csv
3424;1;2020-07-02;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;19.175-2; ;1326; ; ;pagamentos_0011ae2f-c4f1-428f-80bb-79fd202d7ed1.csv
8177;1;2020-10-01; ; ; ; ; ;919.28; ;retencoesPagamento_0f823ece-f2e5-4734-bcca-8fec1dc247fb.csv;pagamentos_0018c4d7-7c5b-4876-ac09-002326c8fd01.csv
8177;1;2020-12-17;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;20.653-9; ;2151.5; ; ;pagamentos_0018c4d7-7c5b-4876-ac09-002326c8fd01.csv
8177;1;2020-11-19;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;20.653-9; ;16488.28; ; ;pagamentos_0018c4d7-7c5b-4876-ac09-002326c8fd01.csv
1577;1;2020-04-30; ; ; ; ; ;33534.75; ;retencoesPagamento_a396feb8-d096-4ba6-8082-917a2be7d555.csv;pagamentos_00203437-b519-4894-aeae-0d24f5d8aa38.csv
1577;1;2020-04-30;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;10202.61; ; ;pagamentos_00203437-b519-4894-aeae-0d24f5d8aa38.csv
201;1;2020-02-11;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;849709.55; ; ;pagamentos_00253b5f-a56e-4429-a408-12ecf2fd2e4f.csv
 ; ; ;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;0; ; ;pagamentos_00262c5a-62cf-4e8e-a721-b89bdc70a184.csv
5962;1;2020-11-27; ; ; ; ; ;79121.4; ;retencoesPagamento_acfeb6eb-5e63-40ac-9545-26333db2e99a.csv;pagamentos_00286030-ba23-47e4-bb24-62d2cfa279a5.csv
5962;1;2020-11-27;DÃ©bito em conta;001 - BANCO DO BRASIL S/A;3226-3 - CENTRO;11558-4; ;118991.8; ; ;pagamentos_00286030-ba23-47e4-bb24-62d2cfa279a5.csv
5816;1;2020-08-28; ; ; ; ; ;76930.22; ;retencoesPagamento_d5c3a53b-dbb7-410a-89d7-930b9e8ca466.csv;pagamentos_00291a54-af6c-42c7-9409-df4375d79c4a.csv
5816;1;2020-08-28;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;21-041-2; ;67320.77; ; ;pagamentos_00291a54-af6c-42c7-9409-df4375d79c4a.csv
