numero;data;origem_arquivo
106/2020;2020-04-14;contrato_000541e3-d399-48c0-8a52-9099990c5c97.csv
1-241/2018;2020-09-09;contrato_007a301b-ef2d-4e19-beef-5b295d0e5770.csv
281/2019;2019-09-13;contrato_00b46ace-d902-4d21-b523-f3db6624061e.csv
97/2019;2019-12-12;contrato_00f24716-23c3-4a24-93fb-23f5864e8b04.csv
123/2020;2020-10-06;contrato_019addf8-e04b-43d0-ab02-c144796bf558.csv
128/2020;2020-06-01;contrato_01ca90e4-c4ee-41b5-9577-512aab28d9b7.csv
60/2019;2019-08-13;contrato_021c5b00-122f-4049-b322-9bb5fc9be5f9.csv
103/2020;2020-04-09;contrato_027a30bc-27ab-4ec6-8a96-4d47ed91bec8.csv
393/2019;2019-12-27;contrato_027f9d47-1914-415c-adec-1382324fda0c.csv
302/2019;2019-10-07;contrato_02e39ac0-c5a7-4209-90e4-863dab5df10b.csv
96/2020;2020-09-03;contrato_0365b58a-598a-4530-aa6e-603b8d6bd6ea.csv
004/20-Parte Var;2020-01-02;contrato_0391c5d1-c89a-48a1-af5d-7b58d6c2a31d.csv
318/2019;2019-11-01;contrato_03d62a86-1541-4b45-9b2f-35664788704c.csv
1-1/2019;2019-12-09;contrato_04a2998c-3db6-45c8-989b-c59b5bed5838.csv
1-141/2018;2020-07-21;contrato_04a95875-9f0d-43b2-9e70-20394c915bd0.csv
66/2019;2019-08-02;contrato_04cb546c-7108-4cb1-be7a-c9dc5907bc3d.csv
24/2019;2019-04-11;contrato_0572a4f6-fdf5-4e61-b510-58ca20f8794f.csv
1-237/2019;2020-02-03;contrato_065a8452-00b3-457f-b2cc-54c71369da14.csv
218/2020;2020-10-27;contrato_066efdc3-e482-4426-9131-a40f48481d36.csv
40/2020;2020-02-21;contrato_06c542b2-20aa-484d-b8cf-f3ff77286556.csv
6-19/2015;2020-02-28;contrato_070db090-6e0d-46b1-989b-f50113329ae4.csv
6-318/2019;2020-08-07;contrato_078bf3b1-4b85-4bce-959c-8a699fec6218.csv
286/2019;2019-09-20;contrato_0895d7f1-299c-4d4f-aed3-53af032998a7.csv
1-212/2019;2019-12-30;contrato_08cea682-b7fb-423c-9d2e-f7f6ccfd645f.csv
144/2020;2020-06-17;contrato_091a3e83-7eea-4dd6-aa00-671c340f08c1.csv
2-212/2019;2020-08-10;contrato_0a8e0415-1ef6-4ce2-9fcb-647607f0106b.csv
290/2019;2019-12-20;contrato_0af5ea05-c3d5-41e2-8f7e-1105f5c70a83.csv
1-127/2020;2020-11-24;contrato_0b2e8f4e-c4a6-4761-824e-4489aa4f84aa.csv
372/2019;2019-12-05;contrato_0b2eafec-c24c-4a73-beda-8cccbf64c0f7.csv
1-87/2019;2019-12-30;contrato_0b3d5af7-3461-4f7a-8599-61f5e23c7487.csv
195/2020;2020-10-02;contrato_0b45b4b3-ec9e-474d-be7e-98d3260d0e16.csv
109/2020;2020-04-17;contrato_0be6da2a-25e4-4d67-bc4a-c9fd4585263d.csv
212/2020;2020-10-20;contrato_0c3edb2e-946e-48ae-bac5-7f1ca3d107ea.csv
112/2020;2020-04-27;contrato_0c4188ee-46c7-4429-8738-89cf1593cb0b.csv
1-90/2019;2019-12-30;contrato_0c4b739a-6f7e-440a-a51e-418344cffcf1.csv
3-293/2018;2019-12-12;contrato_0ca2d2c9-82a4-4cb1-9f8e-b7c1f0b33d13.csv
1-122/2019;2020-02-26;contrato_0d5c8f65-83d7-4268-be1d-b9e8af53c69f.csv
4-150/2015;2019-10-15;contrato_0d5d9986-c5bb-4e44-a158-af9485adbc5f.csv
5/2020;2020-01-20;contrato_0d67fa8c-395b-4040-9761-0de54ddb3b77.csv
5-24/2016;2019-04-15;contrato_0d7623f1-466e-4122-9762-7571b8e33bb2.csv
2-136/2019;2020-10-22;contrato_0e7b64e2-9ad5-4ce0-bd50-bdae92760c04.csv
7-239/2015;2018-09-24;contrato_0e9684d7-73f6-47f8-bad1-4ceaf0c0752e.csv
10/2019;2019-01-09;contrato_0ee8f081-19bf-4a13-afe3-8902c100b471.csv
