dataAnulacao;motivoAnulacao;tipoAnulacao;valorAnulacao;numeroParcelaAnulacao;origem_arquivo
2020-12-31;pela anula̤̣o;Total;29.49;1;anulacoes_000011a7-a8dd-415c-84d2-28f53f56b8f5.csv
2020-08-31;Pela anula̤̣o.;Total;29.49;1;anulacoes_004476e6-64d6-4502-8317-43469f564c27.csv
2020-01-31;Pela anula̤̣o;Total;66.7;1;anulacoes_0055da6e-bb11-455e-a2f1-dd1c4b7bf58a.csv
2020-02-28;Pela Anula̤̣o.;Total;66.7;1;anulacoes_0066f452-0e4f-4146-93d7-7c71187766b3.csv
2020-12-31;Anula̤̣o.;Total;379.93;1;anulacoes_0085439b-9c73-40c6-8e70-7327e4b026a0.csv
2020-12-31;Anula̤̣o;Total;25042;1;anulacoes_00a7a7f6-fee6-4558-934e-2195a618208b.csv
2020-10-30;Pela anula̤̣o.;Total;29.49;1;anulacoes_00b50896-5cc1-4dbe-ac71-50e8736cfe5d.csv
2020-05-05;Pela anula̤̣o;Total;10000;1;anulacoes_00c060f1-9787-4433-be51-0f9b0e797822.csv
2020-09-30;Pela anula̤̣o.;Total;29.49;1;anulacoes_00c9009d-45a8-4c6c-b794-9f9b3602a897.csv
2020-05-06;pela anula̤̣o;Parcial;1316.4;1;anulacoes_00cb6cb2-e0c7-406c-8f40-c4c24ea0210b.csv
2020-12-31;Anula̤̣o;Total;420.04;1;anulacoes_00cb6cb2-e0c7-406c-8f40-c4c24ea0210b.csv
2020-07-07;pela anula̤̣o;Parcial;227.62;1;anulacoes_00cb6cb2-e0c7-406c-8f40-c4c24ea0210b.csv
2020-10-01;Pela anula̤̣o;Parcial;188.52;1;anulacoes_00cb6cb2-e0c7-406c-8f40-c4c24ea0210b.csv
2020-05-06;Pela anula̤̣o;Parcial;190.91;1;anulacoes_00cb6cb2-e0c7-406c-8f40-c4c24ea0210b.csv
2020-08-10;pela anula̤̣o;Parcial;226.22;1;anulacoes_00cb6cb2-e0c7-406c-8f40-c4c24ea0210b.csv
2020-12-24;Anula̤̣o;Total;54897.64;1;anulacoes_00d9c4ed-d445-4eda-85e7-38dd4563160d.csv
2020-12-31;Anula̤̣o;Total;50000;1;anulacoes_00f83377-a985-4bdf-afd3-4e2de61b2449.csv
