anoRetencao;dataRetencao;valorRetencao;origem_arquivo
2020;2020-10-28;2.18;retencoesPagamento_00cb6766-87d6-4939-b8f5-b54fea0b32a6.csv
2020;2020-10-28;0.91;retencoesPagamento_00cb6766-87d6-4939-b8f5-b54fea0b32a6.csv
2020;2020-10-28;0.55;retencoesPagamento_00cb6766-87d6-4939-b8f5-b54fea0b32a6.csv
2020;2020-10-28;1.64;retencoesPagamento_00cb6766-87d6-4939-b8f5-b54fea0b32a6.csv
2020;2020-10-28;0.68;retencoesPagamento_00cb6766-87d6-4939-b8f5-b54fea0b32a6.csv
2020;2020-10-28;0.41;retencoesPagamento_00cb6766-87d6-4939-b8f5-b54fea0b32a6.csv
2020;2020-12-30;312;retencoesPagamento_00cd6a2c-f718-460d-8ff1-5a55501fcdc6.csv
2020;2020-11-02;71.25;retencoesPagamento_00efed6f-5dea-43be-93ab-305df46e953b.csv
2020;2020-11-02;118.75;retencoesPagamento_00efed6f-5dea-43be-93ab-305df46e953b.csv
2020;2020-11-02;284.99;retencoesPagamento_00efed6f-5dea-43be-93ab-305df46e953b.csv
2020;2020-11-17;22.98;retencoesPagamento_00f1b918-5fd4-4a69-b2ba-ee8cc7e406b7.csv
2020;2020-02-27;1023.13;retencoesPagamento_0106c61c-291c-4bfd-a924-b51574fb4448.csv
2020;2020-02-27;8938.67;retencoesPagamento_0106c61c-291c-4bfd-a924-b51574fb4448.csv
2020;2020-02-27;2011.19;retencoesPagamento_0106c61c-291c-4bfd-a924-b51574fb4448.csv
2020;2020-02-27;10652.69;retencoesPagamento_0106c61c-291c-4bfd-a924-b51574fb4448.csv
2020;2020-02-27;280.77;retencoesPagamento_0106c61c-291c-4bfd-a924-b51574fb4448.csv
2020;2020-02-27;456.5;retencoesPagamento_0106c61c-291c-4bfd-a924-b51574fb4448.csv
2020;2020-02-27;626.84;retencoesPagamento_0106c61c-291c-4bfd-a924-b51574fb4448.csv
2020;2020-02-27;1187.92;retencoesPagamento_0106c61c-291c-4bfd-a924-b51574fb4448.csv
2020;2020-11-24;1307.94;retencoesPagamento_010b2033-733a-4103-8de8-b4f1438d8e29.csv
2020;2020-03-30;28.79;retencoesPagamento_010c9390-ccc5-4310-be45-862e3f73d70f.csv
2020;2020-11-27;288.46;retencoesPagamento_01177567-fef3-4013-bfa0-364efc758b27.csv
2020;2020-11-27;2769.58;retencoesPagamento_01177567-fef3-4013-bfa0-364efc758b27.csv
2020;2020-11-27;1282.24;retencoesPagamento_01177567-fef3-4013-bfa0-364efc758b27.csv
