idLiquidacao;data;parcela;valor;valorRestosNaoProcessados;anulacoesLiquidacao;retencoesLiquidacao;origem_arquivo
5531;2020-08-18;1;2388.58;0; ; ;liquidacoes_00022bda-2659-4b66-b7e3-f2bd655fcd48.csv
2627;2020-04-30;1;21133.7;0; ; ;liquidacoes_00049e8f-6001-44b4-aaed-e50d079c858c.csv
5674;2020-11-05;1;667.07;0; ; ;liquidacoes_001116bc-39cd-4e6e-9b84-64c0c89f250f.csv
854;2020-08-28;1;82000;0; ; ;liquidacoes_0016bba6-1e79-40bf-94de-e0441cba895d.csv
6433;2020-12-14;1;976.5;0; ; ;liquidacoes_001ba568-d6fc-4fc8-b543-60b818c02111.csv
6329;2020-09-10;1;5256;0; ;retencoesLiquidacao_c1ed82f0-88b0-4420-9c8b-50e9de8aff22.csv;liquidacoes_001f8e87-1b65-49b0-b425-49f0bee64dc7.csv
3167;2020-05-27;1;38454.66;0; ;retencoesLiquidacao_fc70dcff-1a03-41e2-b3c1-e47026b3d4dd.csv;liquidacoes_002453f1-6578-4f12-8712-8f6154f386bf.csv
9998;2020-11-30;1;5145;0; ; ;liquidacoes_002527ca-e77c-41bd-9087-a0be62674fa9.csv
8622;2020-10-01;1;1536;0; ;retencoesLiquidacao_74e5becb-1422-4632-ba9b-ba2c5fc9ec63.csv;liquidacoes_002f7754-4bc3-45c9-8843-b4a47c7207f3.csv
1757;2020-03-30;1;350;0; ; ;liquidacoes_0037dae8-6261-4662-885b-397066448b52.csv
6827;2020-09-29;1;532427.93;0; ;retencoesLiquidacao_fdecad60-eb3f-4b69-9201-33c62e1e7c0c.csv;liquidacoes_003886cb-b336-40f8-8984-e2c44bdcc7bb.csv
737;2020-03-06;1;636.97;0; ;retencoesLiquidacao_ce4b1ff6-fd6c-4919-9382-ac488ce7af99.csv;liquidacoes_0046191f-945a-4707-93e2-f74a23683364.csv
8170;2020-10-28;1;13750;0; ; ;liquidacoes_0049ce58-d095-4c36-8d0f-9c7f6dfd81fa.csv
2828;2020-04-30;1;18954.87;0; ; ;liquidacoes_004d3e6f-dc5f-475d-b19f-781ab8982b39.csv
2924;2020-04-30;1;989.85;0; ;retencoesLiquidacao_727acf85-f54d-4b94-a3de-bce434ba8b02.csv;liquidacoes_004d3e6f-dc5f-475d-b19f-781ab8982b39.csv
4062;2020-05-29;1;50086.41;0; ;retencoesLiquidacao_c6144139-e149-44b6-82da-319788ef1342.csv;liquidacoes_004d3e6f-dc5f-475d-b19f-781ab8982b39.csv
4719;2020-06-30;1;54347.79;0; ;retencoesLiquidacao_a73ccfe7-0b59-4598-a0bc-08f35e566415.csv;liquidacoes_004d3e6f-dc5f-475d-b19f-781ab8982b39.csv
5627;2020-07-31;1;56364.55;0; ;retencoesLiquidacao_a52cdb1e-3bf2-4d62-bb5f-34240dbc8266.csv;liquidacoes_004d3e6f-dc5f-475d-b19f-781ab8982b39.csv
