uuidDespesa;numeroDespesa;descricaoDespesa;dataDespesa;origem_arquivo
despesa_orcamentaria_178_2020_129;129;Manut. do Fundo Municipal de Saude, despesas de pessoal outros p/ manut.;2020-05-01;dotacaoOrcamentaria_1e8bce61-4b36-4fde-86f5-ab0b987c47d5.csv
despesa_orcamentaria_178_2020_75;75;Manut. Consorcio da SaÃºde-CISAMREC;2020-01-02;dotacaoOrcamentaria_1f39d451-a86d-4faa-b5b9-e46068633639.csv
despesa_orcamentaria_178_2020_79;79;Manut. Consorcio da SaÃºde-CISAMREC;2020-01-02;dotacaoOrcamentaria_1f46b424-db63-4493-87dd-9778d86c54c0.csv
despesa_orcamentaria_29_2019_63;63;Manut. da Casa da Cidadania;2019-01-02;dotacaoOrcamentaria_1f54a94b-f38d-4086-8268-87f27e51b830.csv
despesa_orcamentaria_29_2020_315;315;Manut. do ConvÃªnio Policia Militar;2020-02-05;dotacaoOrcamentaria_1f6d7237-213d-4846-985e-d221a55df148.csv
despesa_orcamentaria_29_2020_204;204;Axulio ao Ensino;2020-01-02;dotacaoOrcamentaria_212ada3b-5a1b-438a-aff7-c750cee2bf03.csv
despesa_orcamentaria_178_2020_68;68;Manut. do Programa de Melhoria do Acesso/Qualid. da AtenÃ§Ã£o BÃ¡sica-PMAQ;2020-01-02;dotacaoOrcamentaria_21e0c3c8-6a72-49c0-ba65-a609d2ec0836.csv
despesa_orcamentaria_29_2020_282;282;Pontes/Passarelas/Viadutos/Elevados;2020-01-02;dotacaoOrcamentaria_223eb36f-ced3-461f-9399-271ff9af9347.csv
despesa_orcamentaria_29_2020_187;187;Transporte Escolar;2020-01-02;dotacaoOrcamentaria_22cba845-410f-477a-afe4-3ac4c9b3bea2.csv
despesa_orcamentaria_178_2020_116;116;Manut. das Unidades de Saude, 24 Horas e Policlinicas;2020-01-02;dotacaoOrcamentaria_24921f37-2b11-4660-9ecf-173ca4540a06.csv
despesa_orcamentaria_29_2020_285;285;Pontes/Passarelas/Viadutos/Elevados;2020-01-02;dotacaoOrcamentaria_24a0f302-6824-4c1e-9055-f788cccc5cee.csv
despesa_orcamentaria_181_2020_7;7;manut. dos sitemas de Ã¡gua e esgoto do Municpio, com recursos do Contrato CASAN/FUNSAB;2020-01-02;dotacaoOrcamentaria_24f06185-92bc-40c1-9bf2-16c5cda89aed.csv
despesa_orcamentaria_29_2019_242;242;Manut. depto de Obras;2019-01-02;dotacaoOrcamentaria_2510c25b-2e5b-44f0-8f22-685f0ae26d6e.csv
despesa_orcamentaria_29_2020_207;207;"EspaÃ§o de FormaÃ§Ã£o e Pesquisa ""Prof. Paulo Freire"".";2020-01-02;dotacaoOrcamentaria_25ce6e19-8235-4c48-b31d-ddbe7b042407.csv
despesa_orcamentaria_29_2017_137;137;ConvÃªnio Policia Militar;2017-01-02;dotacaoOrcamentaria_25f777b2-d8b3-4305-806b-fd3e2c906f8c.csv
despesa_orcamentaria_29_2020_212;212;EducaÃ§Ã£o Inclusiva;2020-01-02;dotacaoOrcamentaria_26143f27-dafa-4709-9222-c216f9007ca5.csv
despesa_orcamentaria_29_2020_49;49;Manut. da Diretoria de ComunicaÃ§Ã£o;2020-01-02;dotacaoOrcamentaria_26566e58-7b12-4a18-860e-3c02803f0f29.csv
despesa_orcamentaria_29_2019_290;290;Oficinas e Garagens;2019-01-02;dotacaoOrcamentaria_27075f4d-3107-4a72-8aec-d499c56bb2b1.csv
despesa_orcamentaria_29_2020_84;84;ManutenÃ§Ã£o do Fundo Municipal de InovaÃ§Ã£o;2020-01-02;dotacaoOrcamentaria_27965407-0752-4d1b-aa13-4820a16a1f94.csv
despesa_orcamentaria_29_2019_119;119;Manut. do ConvÃªnio Corpo de Bombeiros;2019-01-02;dotacaoOrcamentaria_288b0214-236f-43fc-b605-0bedf73bc4f8.csv
despesa_orcamentaria_178_2020_138;138;Manut. da UPA da PrÃ³spera;2020-12-01;dotacaoOrcamentaria_28da6fff-c32a-429b-a971-092324666066.csv
despesa_orcamentaria_29_2018_92;92;Manut. da ArrecadaÃ§Ã£o, FiscalizaÃ§Ã£o, Cadastro Imobiliario;2018-01-02;dotacaoOrcamentaria_28f1eeae-aa49-46f0-8100-e560dda30f2a.csv
despesa_orcamentaria_29_2017_89;89;Controle Interno Geral;2017-01-02;dotacaoOrcamentaria_298fb168-1d79-4612-8c8b-997447e997cd.csv
391621;16;Manut. do Apoio Administrativo, Contrib. AMREC.;2020-01-01;dotacaoOrcamentaria_2a5903c5-e9db-4a86-b24a-7fb248005aea.csv
despesa_orcamentaria_29_2020_130;130;Manut. do Gabinete da Secretaria de EducaÃ§Ã£o;2020-01-02;dotacaoOrcamentaria_2ab53430-3291-4fff-afb8-f87bc58fdd22.csv
despesa_orcamentaria_191_2019_23;23;Manut. da ProteÃ§Ã£o Social Especial - SUAS;2019-01-02;dotacaoOrcamentaria_2aed3060-2a0f-4288-980d-80795528feef.csv
despesa_orcamentaria_178_2019_4;4;Manut. do Fundo Municipal de Saude, despesas de pessoal outros p/ manut.;2019-01-02;dotacaoOrcamentaria_2afbc5fe-dd5c-49cd-b739-5698a7cb6570.csv
despesa_orcamentaria_29_2019_51;51;Manut. da Direitoria de Tecnologia da InformaÃ§Ã£o;2019-01-02;dotacaoOrcamentaria_2b25e0cc-90eb-487b-9b08-805460ff525d.csv
despesa_orcamentaria_29_2020_111;111;Manut. da Agricultura;2020-01-02;dotacaoOrcamentaria_2b96bc4a-94b9-40d3-9dad-56cc08b4efcd.csv
despesa_orcamentaria_178_2020_64;64;Manut. da Saude Bucal-ESF;2020-01-02;dotacaoOrcamentaria_2bb07c0a-2f5f-4e68-93a4-92696e667ffa.csv
despesa_orcamentaria_178_2020_43;43;Manut. CEOs;2020-01-02;dotacaoOrcamentaria_2bd1d7d0-8569-4b0a-8f81-4b67d599297f.csv
despesa_orcamentaria_178_2020_124;124;Manut. do Fundo Municipal de Saude, despesas de pessoal outros p/ manut.;2020-05-22;dotacaoOrcamentaria_2d6fc57b-2f9e-45ad-b6db-0b8823b9a99d.csv
despesa_orcamentaria_29_2019_149;149;Unidades Escolares - Ensino Fundamental;2019-01-02;dotacaoOrcamentaria_2e04470b-848c-40d1-a608-8130324ca5a2.csv
despesa_orcamentaria_29_2020_242;242;Manut. Depto Fisico e Territotial - DPFT;2020-01-02;dotacaoOrcamentaria_2e51b802-fb89-4767-ae0b-784599f7240a.csv
despesa_orcamentaria_29_2018_120;120;Manut. do Gabinete da Secretaria de EducaÃ§Ã£o;2018-01-02;dotacaoOrcamentaria_2f001aeb-83a4-49a9-9973-fe4465f206b1.csv
despesa_orcamentaria_29_2020_88;88;Manut. da Tesouraria e Contabilidade - Financeiro;2020-01-02;dotacaoOrcamentaria_2f5ec2af-b1d0-4cc0-b6ea-3110026af459.csv
despesa_orcamentaria_178_2020_108;108;ManutenÃ§Ã£o do Centro de Zoonoses - CCZ;2020-01-02;dotacaoOrcamentaria_2f678cd7-ebfe-47fd-aab4-ced6241463b4.csv
despesa_orcamentaria_29_2020_77;77;Manut. do Recurso Humanos, AdmissÃµes por Concursos, CapacitaÃ§Ã£o Profis.;2020-01-02;dotacaoOrcamentaria_2fc7d1ee-45bc-4800-90ab-60bde435c466.csv
despesa_orcamentaria_181_2019_4;4;Limpeza de vias e logradouro pÃºblicos;2019-01-02;dotacaoOrcamentaria_2fe86b6f-f3bd-478d-b769-a7d6d37c028e.csv
despesa_orcamentaria_191_2020_39;39;Manut. da ProteÃ§Ã£o Social Especial - SUAS;2020-06-10;dotacaoOrcamentaria_3027205a-dcdf-4ab9-9d1e-6e33febed6b2.csv
despesa_orcamentaria_178_2020_82;82;Manut. do Conselho;2020-01-02;dotacaoOrcamentaria_309bcae1-2687-4ff7-936f-a0ba7aad9fb2.csv
despesa_orcamentaria_178_2018_106;106;Manut. das Unidades de Saude, 24 Horas e Policlinicas;2018-01-02;dotacaoOrcamentaria_31cfdeec-45a9-49ea-8a31-a2104c1778f3.csv
despesa_orcamentaria_178_2020_59;59;Manut. da UPA da PrÃ³spera;2020-01-02;dotacaoOrcamentaria_322cae08-0795-4c9e-8717-a87e42c9d567.csv
despesa_orcamentaria_178_2020_106;106;ManutenÃ§Ã£o DST/HIV/AIDS;2020-01-02;dotacaoOrcamentaria_3500484e-a3ac-432c-b0d6-429d57f5e465.csv
despesa_orcamentaria_29_2020_336;336;AlfabetizaÃ§Ã£o de Jovens e Adultos;2020-09-21;dotacaoOrcamentaria_3522640e-399c-4fc4-8aec-0e11184e1469.csv
despesa_orcamentaria_178_2020_16;16;Manut. PSF e ESF;2020-01-02;dotacaoOrcamentaria_35256f4f-a84b-4615-aab1-b3e5f4342b12.csv
despesa_orcamentaria_29_2020_27;27;Manut. do Conselho Tutelar;2020-01-02;dotacaoOrcamentaria_358fc920-5ab1-4b93-8f04-f65caa17491c.csv
despesa_orcamentaria_178_2018_53;53;Manut. CAPs;2018-01-02;dotacaoOrcamentaria_364333b2-d3a0-465f-95f6-a1b4b1968def.csv
despesa_orcamentaria_29_2020_324;324;Manut. depto de Obras;2020-07-01;dotacaoOrcamentaria_368d6c9c-d9a9-4f1d-a8a7-208348fe647b.csv
despesa_orcamentaria_191_2019_12;12;Manut. da ProteÃ§Ã£o Social BÃ¡sica - SUAS;2019-01-02;dotacaoOrcamentaria_36f056ef-9a60-4460-a000-2d17582e9ff5.csv
despesa_orcamentaria_29_2020_340;340;PavimentaÃ§Ã£o/Resup/RevitalizaÃ§Ã£o/Mobilidade Urbana/Emprestimo FONPLATA, BNDS/BRDE;2020-09-21;dotacaoOrcamentaria_37709686-6092-4853-9814-7258d96f7c43.csv
despesa_orcamentaria_178_2020_44;44;Manut. CEREST;2020-01-02;dotacaoOrcamentaria_3773cd72-ddd7-4cec-b3b1-f4d9cae1be2d.csv
despesa_orcamentaria_29_2019_215;215;Manut. do Depto. Administrativo da EducaÃ§Ã£o, formaÃ§Ã£o continuada;2019-01-02;dotacaoOrcamentaria_37916c54-4620-4d5c-bda0-7f07a88a58f4.csv
despesa_orcamentaria_29_2020_81;81;Manut. do Patrimonio;2020-01-02;dotacaoOrcamentaria_37a8bf36-1855-490d-9b68-37e48cedb0e5.csv
despesa_orcamentaria_29_2020_19;19;Manut. da Diretoria de Transito e Transporte;2020-01-02;dotacaoOrcamentaria_387b8b8b-deed-49e1-ae8e-035761e9539b.csv
despesa_orcamentaria_191_2016_17;17;ProteÃ§Ã£o Social BÃ¡sica;2016-01-02;dotacaoOrcamentaria_38b0df15-7990-4131-af3b-b8ed092d6022.csv
despesa_orcamentaria_29_2018_139;139;Unidades Escolares - Ensino Fundamental;2018-01-02;dotacaoOrcamentaria_38f0d6f1-1598-4277-8a76-8e41fb6aee57.csv
despesa_orcamentaria_186_2019_2;2;Manut. de Projetos Habitacionais e de Interesse Social;2019-01-02;dotacaoOrcamentaria_38ff6238-4733-41bc-a9c2-7337f2de305c.csv
despesa_orcamentaria_29_2020_13;13;Manut. da Diretoria de Transito e Transporte;2020-01-02;dotacaoOrcamentaria_39e04df8-c5bf-4aa0-9548-d45c5a39ce65.csv
despesa_orcamentaria_29_2020_93;93;Manut. do Apoio Administrativo, Contrib. AMREC.;2020-01-02;dotacaoOrcamentaria_3abf1a7a-5833-444b-a590-b979c136da2e.csv
despesa_orcamentaria_29_2019_75;75;Manut. do Recurso Humanos, AdmissÃµes por Concursos, CapacitaÃ§Ã£o Profis.;2019-01-02;dotacaoOrcamentaria_3acfc0e4-0a8d-4a50-8ef5-1352320457bd.csv
despesa_orcamentaria_29_2019_220;220;Manut. do Depto. Administrativo da EducaÃ§Ã£o, formaÃ§Ã£o continuada;2019-01-02;dotacaoOrcamentaria_3b016bbc-9ebc-45d3-9287-5baa42c79ddc.csv
despesa_orcamentaria_29_2020_262;262;EdificaÃ§Ãµes Publicas;2020-01-02;dotacaoOrcamentaria_3b0ad40c-60f7-4384-b230-270354f4714e.csv
despesa_orcamentaria_29_2020_85;85;ManutenÃ§Ã£o do Fundo Municipal de InovaÃ§Ã£o;2020-01-02;dotacaoOrcamentaria_3b3d6c01-3809-4f69-b6b3-b43829de4c00.csv
despesa_orcamentaria_29_2020_4;4;Manut. da Secretaria Geral;2020-01-02;dotacaoOrcamentaria_3ba98f44-c465-4ed3-94a9-e521d0795ff2.csv
despesa_orcamentaria_178_2020_121;121;Manut. das Unidades de Saude, 24 Horas e Policlinicas;2020-01-02;dotacaoOrcamentaria_3bc3d700-2492-4986-8089-8686a96958c4.csv
despesa_orcamentaria_29_2020_80;80;Manut. do Patrimonio;2020-01-02;dotacaoOrcamentaria_3c80c267-fa20-4274-8d16-7663d8f6aa44.csv
despesa_orcamentaria_191_2017_10;10;ProteÃ§Ã£o Social BÃ¡sica;2017-01-02;dotacaoOrcamentaria_3d2bc81f-6181-4dd7-ad62-49693f82b0a5.csv
despesa_orcamentaria_178_2020_122;122;Manut. das Unidades de Saude, 24 Horas e Policlinicas;2020-01-02;dotacaoOrcamentaria_3dd3ab32-d5f6-4807-9f5e-b6dfc6606132.csv
despesa_orcamentaria_29_2017_144;144;ConvÃªnio Corpo de Bombeiros;2017-01-02;dotacaoOrcamentaria_3e4188a5-fe22-4fe5-a05c-caf86d26f9c6.csv
despesa_orcamentaria_29_2020_73;73;Manut. do Gabinete do Secretario da Fazenda;2020-01-02;dotacaoOrcamentaria_3e720aa0-ff2e-4517-b892-483b6b0c725a.csv
despesa_orcamentaria_29_2019_18;18;Manut. da Diretoria de Transito e Transporte;2019-01-02;dotacaoOrcamentaria_3e7f982d-66b2-46c5-95ed-53d505b5137f.csv
despesa_orcamentaria_29_2020_312;312;Manut. do Fundo do Idoso - ProteÃ§Ã£o ao Idoso;2020-01-02;dotacaoOrcamentaria_3ec5d976-9657-47da-af41-8f47eb9feae0.csv
despesa_orcamentaria_29_2018_115;115;Manut. do ConvÃªnio Corpo de Bombeiros;2018-01-02;dotacaoOrcamentaria_4089ed97-4092-489a-a256-af40fd25c821.csv
