descricao;id;quantidade;situacao;unidadeMedida;valorTotal;valorUnitario;origem_arquivo
TINTA MONOCOMPONENTE NA COR BRANCA 18L;0;450;VENCEU; ;102276;227.28;itensProposta_00060315-dbe6-45d2-aabe-15afd30c4dd6.csv
TINTA MONOCOMPONENTE NA COR AMARELA 18L;0;350;VENCEU; ;81154.5;231.87;itensProposta_00060315-dbe6-45d2-aabe-15afd30c4dd6.csv
TINTA MONOCOMPONENTE NA COR PRETA 18L;0;50;VENCEU; ;11364;227.28;itensProposta_00060315-dbe6-45d2-aabe-15afd30c4dd6.csv
TINTA MONOCOMPONENTE NA COR AZUL 18L;0;30;VENCEU; ;6956.1;231.87;itensProposta_00060315-dbe6-45d2-aabe-15afd30c4dd6.csv
TINTA MONOCOMPONENTE NA COR VERMELHA 18L;0;50;VENCEU; ;11593.5;231.87;itensProposta_00060315-dbe6-45d2-aabe-15afd30c4dd6.csv
SOLVENTE 18L;0;280;VENCEU; ;35201.6;125.72;itensProposta_00060315-dbe6-45d2-aabe-15afd30c4dd6.csv
MICROESFERA DE VIDRO (DG-12);0;130;VENCEU; ;15349.1;118.07;itensProposta_00060315-dbe6-45d2-aabe-15afd30c4dd6.csv
BalanÃ§a veterinÃ¡ria digital, de plataforma, para cÃ£es e gato;4446043;1;PERDEU;UN;1660;1660;itensProposta_002e1d5a-f276-4ec0-954c-0b5adb6ecba9.csv
Focinheira nÂº 0;4446044;5;VENCEU;UN;39.5;7.9;itensProposta_002e1d5a-f276-4ec0-954c-0b5adb6ecba9.csv
Focinheira nÂº 1;4446045;5;VENCEU;UN;39.5;7.9;itensProposta_002e1d5a-f276-4ec0-954c-0b5adb6ecba9.csv
Focinheira nÂº 2;4446046;5;VENCEU;UN;39.5;7.9;itensProposta_002e1d5a-f276-4ec0-954c-0b5adb6ecba9.csv
Focinheira nÂº 3;4446047;5;VENCEU;UN;39.5;7.9;itensProposta_002e1d5a-f276-4ec0-954c-0b5adb6ecba9.csv
Focinheira nÂº 4;4446048;5;VENCEU;UN;49.5;9.9;itensProposta_002e1d5a-f276-4ec0-954c-0b5adb6ecba9.csv
Focinheira nÂº 5;4446049;5;VENCEU;UN;49.5;9.9;itensProposta_002e1d5a-f276-4ec0-954c-0b5adb6ecba9.csv
MedicaÃ§Ã£o para eutanÃ¡sia;4446050;5;PERDEU;FR.;3770;754;itensProposta_002e1d5a-f276-4ec0-954c-0b5adb6ecba9.csv
Coleiras repelentes P;4446051;100;PERDEU;UN;6990;69.9;itensProposta_002e1d5a-f276-4ec0-954c-0b5adb6ecba9.csv
Coleiras repelentes G;4446052;100;PERDEU;UN;7400;74;itensProposta_002e1d5a-f276-4ec0-954c-0b5adb6ecba9.csv
Vacina antirrÃ¡bica para cÃ£es e gatos;4446053;300;VENCEU;UN;3660;12.2;itensProposta_002e1d5a-f276-4ec0-954c-0b5adb6ecba9.csv
Sedativo injetÃ¡vel - Acepromazina 0,2%;4446054;6;VENCEU;FR.;252;42;itensProposta_002e1d5a-f276-4ec0-954c-0b5adb6ecba9.csv
AnestÃ©sico injetÃ¡vel - Cetamina 10%;4446055;12;PERDEU;FR.;480;40;itensProposta_002e1d5a-f276-4ec0-954c-0b5adb6ecba9.csv
AnestÃ©sico injetÃ¡vel - Xilazina 2%;4446056;12;VENCEU;FR.;330;27.5;itensProposta_002e1d5a-f276-4ec0-954c-0b5adb6ecba9.csv
CESTA BASICA TIPO 01;4303909;1300;DESCLASSIFICADO;UNI;97643;75.11;itensProposta_007a6206-eb52-4933-9558-3839d201e515.csv
LocaÃ§Ã£o de escavadeira hidrÃ¡ulica 21 Ton. Com operador e sem;0;1000;PERDEU; ;124000;124;itensProposta_0098f54c-c21d-4e39-abe2-d616246afa86.csv
Conjunto completo mop, cabo de aluminio anodizado(1,40 mx24;4399206;320;VENCEU;UND;15801.6;49.38;itensProposta_00b15f1f-492c-49a1-812b-d320eac3faef.csv
Dispenser para sabonete lÃ­quido .;4399207;500;DESCLASSIFICADO;FRA;13500;27;itensProposta_00b15f1f-492c-49a1-812b-d320eac3faef.csv
Lixeira 25 Litros retangular com tampa e pedal na cor BRANCA;4399208;530;VENCEU;UND;37418;70.6;itensProposta_00b15f1f-492c-49a1-812b-d320eac3faef.csv
Lixeira 60 litros composto por duas lixeiras com tampa bascu;4399209;78;VENCEU;UND;17066.4;218.8;itensProposta_00b15f1f-492c-49a1-812b-d320eac3faef.csv
Lixeira 60 litros composto por duas lixeiras com tampa bascu;4399210;237;VENCEU;UND;51855.6;218.8;itensProposta_00b15f1f-492c-49a1-812b-d320eac3faef.csv
MÃ¡scara de proteÃ§Ã£o transparente com visor articulado- face;4399211;500;DESCLASSIFICADO;UND;6950;13.9;itensProposta_00b15f1f-492c-49a1-812b-d320eac3faef.csv
Protetor de balcÃ£o/Mesa Stay;4399212;258;VENCEU;UND;32508;126;itensProposta_00b15f1f-492c-49a1-812b-d320eac3faef.csv
Pulverizador 2 em 1 com gatilho anatÃ´mico, capacidade de 1li;4399213;2730;VENCEU;UND;17881.5;6.55;itensProposta_00b15f1f-492c-49a1-812b-d320eac3faef.csv
