dataAnulacao;motivoAnulacao;tipoAnulacao;valorAnulacao;numeroParcelaAnulacao;origem_arquivo
2019-12-31;Anula̤̣o;Total;4.8;1;anulacoes_001f2821-a5e9-4156-b0e9-4058ab33be9a.csv
2019-12-31;Anula̤̣o;Total;0.56;1;anulacoes_00342d69-645d-4a8c-9d07-687972a98b6b.csv
2019-12-31;Anula̤̣o;Total;1450.53;1;anulacoes_0066da83-d6ac-4f7e-9f4b-d61e9cbe3687.csv
2019-12-31;Anula̤̣o;Total;0.02;1;anulacoes_00a7e71b-ceb4-446a-b7a1-7152487ea377.csv
2019-12-31;Anula̤̣o;Total;27567.1;1;anulacoes_00c0fb66-7146-4f1a-b78a-d8938b4ebbc7.csv
2019-12-31;Anula̤̣o;Total;2859;1;anulacoes_00cb8714-d286-4f1a-a932-78d7d19ddddf.csv
2019-06-28;Pela Anula̤̣o.;Total;65;1;anulacoes_00cc7c71-2b7e-415d-948b-d24df8e3b431.csv
2019-12-31;Anula̤̣o;Total;2.26;1;anulacoes_00fe98e0-6326-4bd4-b70c-6e96d7fdb0ca.csv
2019-08-30;Pela anula̤̣o;Total;65;1;anulacoes_01214a53-4cfa-4cd9-bcde-f55170bf3599.csv
2019-09-19;Pela anula̤̣o;Parcial;622.27;1;anulacoes_016ff3b8-194b-4b5f-a9fc-6ee924c95a08.csv
2019-07-19;Pela anula̤̣o;Parcial;297.84;1;anulacoes_016ff3b8-194b-4b5f-a9fc-6ee924c95a08.csv
2019-11-22;pela anula̤̣o;Parcial;107.07;1;anulacoes_016ff3b8-194b-4b5f-a9fc-6ee924c95a08.csv
2019-12-12;pela anula̤̣o;Total;10.07;1;anulacoes_016ff3b8-194b-4b5f-a9fc-6ee924c95a08.csv
2019-10-21;pela anula̤̣o;Parcial;624.32;1;anulacoes_016ff3b8-194b-4b5f-a9fc-6ee924c95a08.csv
2019-05-16;Pela anula̤̣o;Parcial;1617.38;1;anulacoes_016ff3b8-194b-4b5f-a9fc-6ee924c95a08.csv
2019-08-20;Pela anula̤̣o;Parcial;903.39;1;anulacoes_016ff3b8-194b-4b5f-a9fc-6ee924c95a08.csv
2019-12-30;Pela anula̤̣o;Total;32.46;1;anulacoes_016ff3b8-194b-4b5f-a9fc-6ee924c95a08.csv
2019-02-28;Pela anula̤̣o.;Total;65;1;anulacoes_01715069-fd68-4073-b1a3-a5ad420ad624.csv
2019-12-31;Anula̤̣o;Total;678;1;anulacoes_017f404a-2ac5-4caf-a16a-998efe6aca94.csv
2019-10-31;Pela anula̤̣o.;Total;65;1;anulacoes_01992a40-b706-4566-adbd-d8f6f854e5ab.csv
2019-10-01;Pela anula̤̣o;Total;65;1;anulacoes_01b7427f-60ad-4984-b0a9-6b234afb8d8b.csv
2019-12-31;Anula̤̣o;Total;25000;1;anulacoes_01d5603e-5347-4add-b0e6-8399905697af.csv
2019-12-31;Anula̤̣o;Total;93;1;anulacoes_023b9564-d532-4a95-b8a2-8b84bda156e7.csv
2019-12-31;Anula̤̣o;Total;100000;1;anulacoes_02a6f77a-bc48-4f43-b70c-2780e51f752a.csv
2019-12-31;Pela anula̤̣o.;Total;452;1;anulacoes_02d14ec2-7ee7-4e37-a843-e7ec9d2f4a1e.csv
2019-11-06;pela anula̤̣o;Total;79.79;1;anulacoes_02d3c529-e526-418f-b8e1-62febe82700e.csv
2019-12-31;Anula̤̣o;Total;616986.34;1;anulacoes_02eda032-e44d-44c3-855e-21aaf65b735c.csv
2019-07-04;Pela anula̤̣o;Total;797.81;1;anulacoes_0308c449-250b-4fb2-ab22-ff394c099943.csv
2019-12-31;Anula̤̣o;Total;65;1;anulacoes_03424650-4cba-4476-938b-1186f0721bd8.csv
2019-12-31;Anula̤̣o;Total;21;1;anulacoes_035b8f13-9e97-45ba-939d-622fcca14007.csv
2019-12-31;Anula̤̣o;Total;1792;1;anulacoes_035f6726-700c-4cb2-aa9a-139b61ed4214.csv
2019-12-31;Anula̤̣o;Total;146;1;anulacoes_0376d4a1-f5a6-4d43-9d75-928ec40aef83.csv
2019-12-30;Pela anula̤̣o.;Total;326.79;1;anulacoes_037cceb0-fe8e-4c49-82fa-a15335df01eb.csv
2019-12-31;Anula̤̣o;Total;0.62;1;anulacoes_03aeb619-ed83-41e3-9bf5-1d3b0e472fab.csv
2019-12-31;Anula̤̣o;Total;9;1;anulacoes_03b19afb-e896-4cba-9b81-05157fee1e62.csv
2019-12-31;Anula̤̣o;Total;19.98;1;anulacoes_03b60dee-859c-44bd-8805-42359199d08a.csv
2019-12-31;Anula̤̣o;Total;8965.29;1;anulacoes_03f04389-4dd5-40e9-8abc-3b6cb1fb1224.csv
2019-12-31;Anula̤̣o;Total;8411.15;1;anulacoes_040aa4dc-2673-4b44-af66-ba3563e829b2.csv
2019-12-31;Anula̤̣o;Total;20000;1;anulacoes_0437a601-4789-43d2-8f1d-d1e445a16f66.csv
2019-12-31;Anula̤̣o;Total;0.25;1;anulacoes_048964f0-7617-4a23-9baa-6b2d32a01fb4.csv
