anoRetencao;dataRetencao;valorRetido;origem_arquivo
2019;2019-07-12;47.19;retencoesLiquidacao_00dd384f-7267-43e2-acd7-6b205512d4e1.csv
2019;2019-07-12;28.31;retencoesLiquidacao_00dd384f-7267-43e2-acd7-6b205512d4e1.csv
2019;2019-06-06;6.62;retencoesLiquidacao_00ddbf0e-211c-437c-83c5-a68b692ae305.csv
2019;2019-08-02;432.22;retencoesLiquidacao_00fa27ac-ebe7-4830-8f09-2516d5a449bf.csv
2019;2019-08-02;180.09;retencoesLiquidacao_00fa27ac-ebe7-4830-8f09-2516d5a449bf.csv
2019;2019-08-02;108.06;retencoesLiquidacao_00fa27ac-ebe7-4830-8f09-2516d5a449bf.csv
2019;2019-04-25;52.43;retencoesLiquidacao_0106238a-43dd-4501-a1e1-52ef6f31d290.csv
2019;2019-09-23;14.52;retencoesLiquidacao_01166db1-6582-45e1-8649-273595bf8e0d.csv
2019;2019-09-23;10.89;retencoesLiquidacao_01166db1-6582-45e1-8649-273595bf8e0d.csv
2019;2019-04-01;170.63;retencoesLiquidacao_012f9322-85c7-47aa-aa29-6b7160dc95d6.csv
2019;2019-04-01;34.13;retencoesLiquidacao_012f9322-85c7-47aa-aa29-6b7160dc95d6.csv
2019;2019-09-01;1044.09;retencoesLiquidacao_01324a2d-5ffb-4074-88fd-eb850c92ec4c.csv
2019;2019-11-25;26.6;retencoesLiquidacao_013ad855-0944-4be8-8bd9-29a720fbf618.csv
2019;2019-11-25;2465.72;retencoesLiquidacao_013ad855-0944-4be8-8bd9-29a720fbf618.csv
2019;2019-11-25;834.85;retencoesLiquidacao_013ad855-0944-4be8-8bd9-29a720fbf618.csv
2019;2019-11-25;134.67;retencoesLiquidacao_013ad855-0944-4be8-8bd9-29a720fbf618.csv
2019;2019-11-25;323.21;retencoesLiquidacao_013ad855-0944-4be8-8bd9-29a720fbf618.csv
2019;2019-11-25;80.8;retencoesLiquidacao_013ad855-0944-4be8-8bd9-29a720fbf618.csv
2019;2019-01-30;40;retencoesLiquidacao_013ae5ad-8c60-4b62-b4fc-856cbcee806e.csv
2019;2019-03-12;5.63;retencoesLiquidacao_0141f448-3924-4aa3-bd8c-7dd9cfb86a75.csv
2019;2019-05-29;300.63;retencoesLiquidacao_014ff8b9-6728-4a4f-acd1-4d3e66c365ef.csv
2019;2019-05-29;125.27;retencoesLiquidacao_014ff8b9-6728-4a4f-acd1-4d3e66c365ef.csv
2019;2019-05-29;75.16;retencoesLiquidacao_014ff8b9-6728-4a4f-acd1-4d3e66c365ef.csv
2019;2019-05-29;225.48;retencoesLiquidacao_014ff8b9-6728-4a4f-acd1-4d3e66c365ef.csv
2019;2019-05-29;93.95;retencoesLiquidacao_014ff8b9-6728-4a4f-acd1-4d3e66c365ef.csv
2019;2019-05-29;56.37;retencoesLiquidacao_014ff8b9-6728-4a4f-acd1-4d3e66c365ef.csv
2019;2019-11-01;46.83;retencoesLiquidacao_015381ce-c9df-4f3c-9f18-a32c691f6ae0.csv
2019;2019-11-29;7.88;retencoesLiquidacao_016a0468-400e-48c8-9155-0be147cbc160.csv
2019;2019-07-11;13.2;retencoesLiquidacao_01736822-8d52-4b77-8616-161ef8365aca.csv
2019;2019-07-11;6.6;retencoesLiquidacao_01736822-8d52-4b77-8616-161ef8365aca.csv
2019;2019-03-29;10.65;retencoesLiquidacao_0177ee60-0087-4737-8cea-e7f194263cf9.csv
2019;2019-01-31;983.83;retencoesLiquidacao_017e9824-2dca-42fa-90bb-a28aba1d3e41.csv
2019;2019-01-31;737.87;retencoesLiquidacao_017e9824-2dca-42fa-90bb-a28aba1d3e41.csv
2019;2019-03-26;20.54;retencoesLiquidacao_018a6a80-1d47-4619-8c83-80c61e411173.csv
2019;2019-05-02;232.5;retencoesLiquidacao_019d4fef-185a-4077-ac72-31e1ac52d3b8.csv
2019;2019-05-02;3.35;retencoesLiquidacao_01b873ea-6da8-49f4-a18a-843dad500a26.csv
2019;2019-05-28;2.64;retencoesLiquidacao_01ce6d9e-f69f-489b-87c5-22491b2099cc.csv
2019;2019-05-28;1.1;retencoesLiquidacao_01ce6d9e-f69f-489b-87c5-22491b2099cc.csv
2019;2019-05-28;0.66;retencoesLiquidacao_01ce6d9e-f69f-489b-87c5-22491b2099cc.csv
2019;2019-03-01;106.18;retencoesLiquidacao_01ceebcb-fe4c-42e1-90c9-68ee9e65196e.csv
2019;2019-03-01;44.24;retencoesLiquidacao_01ceebcb-fe4c-42e1-90c9-68ee9e65196e.csv
2019;2019-03-01;26.54;retencoesLiquidacao_01ceebcb-fe4c-42e1-90c9-68ee9e65196e.csv
2019;2019-08-27;4216.62;retencoesLiquidacao_01dae021-ac0c-4c9f-b13b-76d6db466c79.csv
2019;2019-08-27;3615.91;retencoesLiquidacao_01dae021-ac0c-4c9f-b13b-76d6db466c79.csv
2019;2019-08-27;9865.93;retencoesLiquidacao_01dae021-ac0c-4c9f-b13b-76d6db466c79.csv
2019;2019-08-27;2276.44;retencoesLiquidacao_01dae021-ac0c-4c9f-b13b-76d6db466c79.csv
2019;2019-08-27;50;retencoesLiquidacao_01dae021-ac0c-4c9f-b13b-76d6db466c79.csv
2019;2019-08-27;5036.44;retencoesLiquidacao_01dae021-ac0c-4c9f-b13b-76d6db466c79.csv
2019;2019-08-27;16899.54;retencoesLiquidacao_01dae021-ac0c-4c9f-b13b-76d6db466c79.csv
2019;2019-08-27;207.5;retencoesLiquidacao_01dae021-ac0c-4c9f-b13b-76d6db466c79.csv
2019;2019-08-27;66185.85;retencoesLiquidacao_01dae021-ac0c-4c9f-b13b-76d6db466c79.csv
2019;2019-08-27;164594.3;retencoesLiquidacao_01dae021-ac0c-4c9f-b13b-76d6db466c79.csv
