numeroParcela;valorParcela;dataVencimentoParcela;origem_arquivo
1;404565;2019-08-27;parcelas_00017aa2-6b91-4349-b2b3-fce77f0cb0a7.csv
1;4385.05;2019-11-27;parcelas_000377c2-f591-4085-a491-3118f60e8093.csv
1;146.52;2019-03-12;parcelas_0004bbf0-c623-45c3-ae5d-0837330ceb5b.csv
1;35600;2019-01-02;parcelas_000b55e5-6f4a-4d4f-9321-90954f837b6c.csv
1;11700;2019-01-02;parcelas_000b71d0-6d9b-4077-91e2-d8f3b6cd3d0c.csv
1;779.1;2019-04-17;parcelas_000bc586-127b-48ed-ab16-8c7811443bd0.csv
1;341823.64;2019-01-02;parcelas_0014f6aa-386e-4e78-9d8d-929b15ebc3f4.csv
1;10500;2019-02-28;parcelas_001b1543-ce23-481c-96e2-82304efec988.csv
1;1539775.55;2019-11-28;parcelas_0023bf04-0245-40f5-a511-fca37e86527e.csv
1;67517.39;2106-11-30;parcelas_00314cd6-934d-4eef-93e9-fe6e69dce5c2.csv
1;65;2019-08-15;parcelas_0033278c-b172-4641-a291-0bb94f9b7364.csv
1;101830;2019-03-12;parcelas_003727a6-58b1-4eae-af91-ba1db94b68d7.csv
1;170.97;2019-12-09;parcelas_003d0658-2f9e-4506-987d-e5807433e109.csv
1;104.13;2019-08-29;parcelas_003d2aea-c496-4954-ab29-ec52f2adc4cb.csv
1;7454.4;2019-06-27;parcelas_0048bc21-b3c1-4bf3-b029-e3879ffc05f7.csv
1;708.35;2019-10-31;parcelas_004a845f-d7d4-4a6f-8d28-581d4fb2988e.csv
1;710.6;2019-02-08;parcelas_004d0fba-9daa-456a-9310-98ba7cab1dc2.csv
1;1280;2019-08-01;parcelas_004f73bf-3401-4424-8bb4-c5e029ca3f2d.csv
1;9318;2019-07-31;parcelas_005312e3-43b6-4de7-a030-727578c69532.csv
1;8461.94;2019-09-19;parcelas_00558f52-5dc4-4416-994d-15590a84afe5.csv
1;1495.2;2019-02-28;parcelas_005758c9-1de9-4513-b6af-781738afdebb.csv
1;35977.45;2019-05-10;parcelas_0058e08b-0135-408a-88d5-3e1e973061c7.csv
1;425.91;2019-04-04;parcelas_005a214b-a1f0-4d2d-ab73-414f7163a95a.csv
1;129.86;2019-08-13;parcelas_005cf575-ee38-4b66-a76c-748ab48a9c1e.csv
1;1425;2019-07-09;parcelas_005d5170-5554-428d-866a-648f8c7151c8.csv
1;79.79;2019-04-22;parcelas_005e6bd5-2e31-4dd1-81cd-dcf1fa6c3897.csv
1;957.43;2019-06-17;parcelas_00614799-901e-48b5-b885-d7f3a5ad3209.csv
1;65;2019-01-25;parcelas_006345ea-c736-4c04-bda7-37bfc51ebcab.csv
1;954;2018-12-31;parcelas_0063b185-2944-455d-a3d1-fcfce4bf8716.csv
1;41332.86;2019-05-28;parcelas_00685fbb-be41-48f3-9e3d-50362eea3499.csv
1;560.72;2019-02-28;parcelas_006a1f47-0d30-4921-9c3a-687ac2dee081.csv
1;2082.5;2019-08-21;parcelas_006cc7a6-93f7-4a38-8f0d-9d83ae8d0ddf.csv
1;7544.21;2019-10-21;parcelas_006e1fa9-fac0-4c06-88b3-3495683c3e12.csv
1;8441.02;2019-01-28;parcelas_0073de5c-a551-40e5-8673-9afe772aef1b.csv
1;411817.41;2019-09-19;parcelas_007560c3-3e81-4bbd-a037-b97c8e6d38c2.csv
1;65;2019-11-14;parcelas_007da75d-2f8c-484a-a532-d41cc982fb20.csv
1;9665;2019-04-22;parcelas_007dea84-cf93-4858-8808-5a0be0d74ada.csv
1;1966.46;2019-10-30;parcelas_007fc382-8bf3-4d42-9a82-01791ff02e04.csv
1;13164.43;2019-06-27;parcelas_007fd4d1-d367-474b-8f4d-3499b11d9244.csv
1;200000;2019-05-02;parcelas_00843598-9dfe-412a-80ad-7d208ffed5fd.csv
1;3493;2019-01-31;parcelas_009365f4-d1cf-4d5c-a454-c1fc91121e9d.csv
1;11400;2019-10-22;parcelas_009dd527-eb08-4943-8f0f-de015347003a.csv
1;4800;2019-01-17;parcelas_00aa6f0b-66a5-44c3-bcb2-4e5d4a240f14.csv
1;3702.34;2019-10-22;parcelas_00abb68a-be6d-44a5-8f48-c223b14d2ca8.csv
1;118.8;2019-07-29;parcelas_00b178a9-2e49-45d4-a656-443ca396f5e7.csv
1;686.83;2019-01-30;parcelas_00b58afc-ac5a-4ea7-be77-7d83bd0f658d.csv
1;2564.05;2019-01-30;parcelas_00b81552-388b-4ff4-b384-0f19fbca3837.csv
1;1600;2019-06-14;parcelas_00b9b079-cd6b-48c6-a49a-5f21f1bacf5c.csv
1;7553.45;2019-01-02;parcelas_00c21e48-76a9-48bf-b0c4-cd0db9bf3ee0.csv
1;22414.5;2018-12-11;parcelas_00cdf85b-def1-46ed-96f6-ae1e1c584519.csv
1;98.03;2019-01-31;parcelas_00cfc059-b6d0-4f27-a43b-8771cc245f4b.csv
1;92539.56;2019-05-08;parcelas_00d67c78-ac17-4edc-8ab3-2c8eb069c3a9.csv
1;5796.03;2019-07-31;parcelas_00e67c83-73b1-4501-b960-98308cc92668.csv
1;1100;2019-07-31;parcelas_00e6e5c4-d2ff-4167-85a2-aa460d1e5f7f.csv
1;42000;2019-10-29;parcelas_00f18335-2387-4fc5-bb57-838524aabc6c.csv
1;2673.98;2019-06-27;parcelas_00f55fcc-8cb4-48de-ab34-4520e4d8e84a.csv
1;104.13;2019-01-11;parcelas_00f6eb9d-7d5d-4b9a-a2a6-556c876e8483.csv
1;65;2019-04-17;parcelas_0100e48a-c7d4-4412-9b00-dc383e1992fe.csv
1;11457.5;2019-09-26;parcelas_0100e9ff-b5ac-4782-8e6e-aef5ab85b43f.csv
1;17352;2019-08-07;parcelas_010605a6-a07f-4f75-9d5a-25a30fbe40b9.csv
1;50.86;2019-06-27;parcelas_010a786e-0daa-4c4f-8a6a-28d8c6e9e670.csv
1;34860;2019-08-30;parcelas_010caee6-0b33-43a8-b635-27949ab4c139.csv
1;92927.18;2019-11-28;parcelas_01219cfa-4deb-4ec5-9b11-1dcd20b559b1.csv
1;7980.75;2019-09-19;parcelas_012612cc-3f67-4b26-82a6-e8b635256825.csv
1;162.75;2019-09-17;parcelas_012c40e5-cd10-43f8-b2bc-5a069b01ec63.csv
1;61.69;2019-08-08;parcelas_012d69d5-a367-4228-8068-b593804af0b4.csv
1;150.05;2019-02-28;parcelas_01362860-24ac-4183-b062-3205850765cf.csv
1;1159.73;2019-08-01;parcelas_013b7f09-0cb9-40f9-9b11-8c1f67a023a3.csv
1;25000;2019-05-15;parcelas_013b9fe2-1e65-4dad-9cad-87df097b1642.csv
1;28010;2019-05-28;parcelas_0141c150-add0-433b-91cb-8d04bb1a6626.csv
1;61695.7;2019-06-27;parcelas_0146a092-aae7-4566-bf48-0f6fb6549aa1.csv
1;383633.54;2019-10-21;parcelas_014a72da-2381-4a2a-b460-5a1403e154fb.csv
1;12603.96;2019-01-02;parcelas_01500ff3-4c1b-4983-9f27-205806f797ed.csv
1;149.21;2019-04-03;parcelas_01538402-b895-440a-be8b-ece8f67fa5eb.csv
1;4791.5;2019-04-04;parcelas_0158d05c-2e85-4d1f-87a9-da908852d636.csv
1;628.2;2019-10-14;parcelas_015ccb02-f6f1-4ec0-b3df-5973478f8204.csv
1;19106.33;2019-11-01;parcelas_015e0e3a-bf3b-41d2-bb6e-ba554bc29675.csv
1;64.61;2019-06-27;parcelas_016100d5-eda7-4fef-8bdd-6685552fab93.csv
1;65;2019-10-25;parcelas_0162e5a3-e9c9-4f93-ba5b-778d60e458ef.csv
1;249.5;2019-05-14;parcelas_0163336b-793d-431f-93bd-fb89dd61de18.csv
1;9324.4;2019-02-20;parcelas_0164797a-30cc-4660-98b9-27b3dfe965f9.csv
1;7710.04;2019-03-29;parcelas_01678aec-dfb4-41bd-936e-347b1a722d0c.csv
1;440.96;2019-08-22;parcelas_01741186-02cc-4c96-93b3-0b49eae3b972.csv
1;3992;2019-08-30;parcelas_0178caac-1d47-44db-9fc1-2d184837fa73.csv
1;535.71;2019-10-08;parcelas_0183660b-b614-4c67-80ad-84ba35aac819.csv
1;6214.43;2019-06-28;parcelas_01839790-7e3d-4c67-b69d-22a4275fa6cf.csv
1;72660;2019-10-11;parcelas_01866ee7-befe-42c3-811b-917b0902b86c.csv
1;8208.28;2019-06-27;parcelas_018a4669-a2e8-429b-b20a-ca271075d3bc.csv
1;79.79;2019-03-27;parcelas_019055b7-9e74-4a04-a471-d43f6b7665d9.csv
1;261;2019-03-29;parcelas_01a086dc-19f8-483b-a00f-1b8de0b94fe3.csv
1;30629.83;2019-09-30;parcelas_01a5008a-8953-4e9f-9b27-8d9ce3cc29d0.csv
1;180.28;2019-06-28;parcelas_01b1139e-26d0-4adb-a9d9-0ba80b119f21.csv
1;85.96;2019-08-22;parcelas_01b53dad-cafb-4ee9-ba3b-72e58af83f5c.csv
1;2276.8;2019-10-08;parcelas_01b82505-2fdb-4b63-a88b-0497c98a3c2b.csv
1;65;2019-07-01;parcelas_01b88e86-0853-4ba4-b8b2-1d91a3a2a643.csv
1;1468401.52;2019-08-30;parcelas_01bfc304-53a2-4385-ae29-2ade008ebb69.csv
1;21983.9;2019-12-11;parcelas_01c3823e-1b50-475a-9319-a98acd62b123.csv
1;2187.5;2019-12-19;parcelas_01c5131b-146f-437e-adf9-1eaa3ff6462f.csv
1;267.74;2019-06-04;parcelas_01c5b8f2-9f8f-4d66-8f99-52c8fb047dab.csv
1;1250;2019-05-07;parcelas_01cb92af-7166-4f65-98f3-aeae7d533076.csv
1;149800.9;2019-07-18;parcelas_01cff3c6-98d6-480d-b685-2eb61071f78f.csv
1;500;2018-12-31;parcelas_01d21bad-f61f-4d58-8a7d-4f184d5df326.csv
1;3982.49;2019-08-22;parcelas_01d22849-eb54-43d6-9c71-28311cda857d.csv
1;228.26;2019-10-22;parcelas_01d76552-587b-4daa-9484-f5672306e2df.csv
1;3178.82;2019-08-30;parcelas_01db0545-e421-4057-b4bb-8435534fbcf9.csv
1;65;2019-10-04;parcelas_01dd6e92-f383-448d-9c35-111fd12a0d8f.csv
1;621335.37;2019-07-26;parcelas_01e0936a-0f72-4c09-9abf-672a3360d2da.csv
1;455773.03;2019-08-30;parcelas_01e7e6b1-afd4-407e-98b7-3b3308d3a558.csv
1;1855;2019-02-20;parcelas_01f232ce-fb76-4751-8272-3a3fc07bbc6c.csv
1;51060.67;2019-12-19;parcelas_01f24635-7d4c-4d3c-8de8-505eb70fa2c4.csv
1;3021.2;2019-02-18;parcelas_01f3346a-947e-4041-82c3-c1b4a60380d0.csv
1;14185.5;2019-11-29;parcelas_01f467a0-2aed-4070-8e60-bae733dd0b54.csv
1;2362.03;2019-02-25;parcelas_01f48632-a1c2-46dd-a7ad-87f865a622a9.csv
1;142749.02;2019-12-10;parcelas_01f956d2-469b-4748-856b-f38df0a0de9d.csv
1;2582;2019-01-28;parcelas_01fa2b3f-4931-464b-8eb9-c8599939bee7.csv
1;1697.7;2019-11-19;parcelas_01fd98c6-0db0-4509-9822-9f002a74c85b.csv
1;1432.92;2019-06-27;parcelas_020a5b91-9f2c-48b7-ad1e-cbbfac1d8b99.csv
1;38950;2019-08-01;parcelas_021308bd-e0e1-4405-8f42-aead21ff2fc0.csv
1;3143.73;2019-02-15;parcelas_021d4105-2de1-4c00-a031-62081b060ce7.csv
1;22500;2019-08-30;parcelas_0224bb1d-49c6-4e95-8397-cbb3926f2842.csv
1;90082.12;2018-09-14;parcelas_0225ba02-ca37-41ca-a4db-8378e889156e.csv
1;154672.32;2018-09-14;parcelas_0225ba02-ca37-41ca-a4db-8378e889156e.csv
1;3645;2019-06-25;parcelas_0234c65b-3907-4c40-8678-78a4d59387bf.csv
1;5068.5;2019-12-02;parcelas_023593af-74b0-45eb-88c0-32eb829189d3.csv
1;72703.37;2019-01-04;parcelas_023685cc-bfbf-464f-9598-f7b77079cd76.csv
1;420.17;2019-02-08;parcelas_02370458-1df0-48b7-b74a-3b1757cbf075.csv
1;100000;2019-01-02;parcelas_023815fe-1fe4-4602-80c2-b93200588d91.csv
1;512;2019-07-26;parcelas_023da8a3-3f00-4fce-bfd7-f401afa2defa.csv
1;211.65;2018-12-31;parcelas_0246d291-8873-4963-bc30-3e58f958c7ec.csv
1;8030.01;2019-01-10;parcelas_024725bb-4b9e-46b0-8040-aeaa6e059ac4.csv
1;39093.45;2019-09-30;parcelas_024d4cf1-9a5c-4a32-9994-774cbad35670.csv
1;1693.29;2018-12-28;parcelas_025883a7-4db1-4597-a0f9-807dbc6ce950.csv
1;104.13;2019-09-04;parcelas_025a0a7f-5461-4422-8121-64a5aff0f7bb.csv
1;97392.22;2019-06-19;parcelas_025a905a-2d8c-46bd-b42f-e36ef7ade148.csv
1;850247.36;2019-11-12;parcelas_025bdb7e-f695-4c70-a70a-ee09ed3a7588.csv
1;130951.51;2019-02-08;parcelas_0262a22f-1044-4478-849e-0e7d0b16d66c.csv
1;479.3;2019-10-21;parcelas_026369a8-266f-4655-aa5e-76479c127f30.csv
1;1308.15;2019-04-30;parcelas_0268e6a3-c338-424c-be86-647d0ed30a43.csv
1;804.55;2019-04-22;parcelas_02692d2a-d439-4f77-b32c-646a3de36035.csv
1;300104.15;2019-09-30;parcelas_026ea8bc-c82b-4cd9-a119-ba3b68d76cb2.csv
1;29032;2019-02-14;parcelas_02715fad-05d5-4ddf-8988-19cfa0b75524.csv
1;47833.34;2019-08-30;parcelas_02746f72-77ba-4e39-b96f-4a1d30f04558.csv
1;38100;2019-08-01;parcelas_0278fa58-d0a9-4951-9e51-9fe4472cbd19.csv
1;613.12;2019-03-29;parcelas_0279ff50-1bce-4cb7-8454-0282cc438d98.csv
1;65;2019-04-11;parcelas_027ab416-5cac-432c-824f-c83ea995c00a.csv
1;2268.6;2019-12-31;parcelas_027be5a5-a92d-4e7c-9f3c-e09fdc3b20c6.csv
1;65;2019-06-04;parcelas_02891737-62ee-470e-bcdc-67b6c1bf2bd1.csv
1;198.37;2018-11-20;parcelas_028ace60-5565-4341-95ee-7f852828c024.csv
1;10065.07;2019-03-29;parcelas_028e17d6-e481-44cd-9bf1-972d90c78f7b.csv
1;33120;2019-04-04;parcelas_028f700c-99e4-4a1b-a2ef-3b5c73879fd4.csv
1;2573.5;2019-10-25;parcelas_02914503-5d42-412b-a61f-f5cc356fc93a.csv
1;3415;2019-04-30;parcelas_0293bcf5-1082-4ce7-a1b0-d7989bd2962a.csv
1;22613.78;2019-08-27;parcelas_029947f2-8f67-4ab7-bd24-6dcdde55beb9.csv
1;79.79;2019-03-12;parcelas_029d9908-089b-4664-bbc9-0f243b2b5d9d.csv
1;66.66;2019-01-21;parcelas_029f1175-0108-4a77-aad5-9edc5ce7940f.csv
1;462.56;2019-10-21;parcelas_02ab3313-360a-4a27-b656-f562356de34a.csv
1;2471.04;2019-09-30;parcelas_02ace5a3-11cc-4ce9-8dbe-183fa7f3d2a4.csv
1;63516;2019-07-08;parcelas_02bc6f45-51c9-4f96-8e7e-f7faf5f78a28.csv
1;933594.94;2017-11-20;parcelas_02bc7565-e6bd-49f4-bcce-b11c319a0bdf.csv
1;409.6;2019-01-31;parcelas_02bf1e20-d6b8-42e1-8bb2-e0c33d36ff5e.csv
1;238162.1;2019-09-26;parcelas_02d07079-0e22-4cbb-a11e-f042d8873313.csv
1;6854.65;2019-10-08;parcelas_02d46057-edb2-4a39-b82c-17ce7c4ff5c6.csv
