idLiquidacao;parcelaEmpenho;dataPagamento;tipoPagamento;banco;agenciaBancaria;contaCorrente;historico;valorPagamento;anulacoesPagamento;retencoesPagamento;origem_arquivo
6035;1;2019-07-29;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;16.532-8; ;8548.6; ; ;pagamentos_008a6fd7-c3ff-43e0-9d80-92c86f76aa96.csv
1535;1;2019-12-20;DÃ©bito em conta;001 - BANCO DO BRASIL S/A;3226-3 - CENTRO;15.313-3; ;21807.55; ; ;pagamentos_00924f85-8350-416e-8f08-0051b9e1b467.csv
6875;1;2019-08-22;DÃ©bito em conta;104 - CAIXA ECONOMICA FEDERAL S/A;0415-4 - CRICIUMA;672.010-8; ;1550.25; ; ;pagamentos_0093e50c-53ee-44ae-8e5c-670138905810.csv
468;1;2019-02-26;DÃ©bito em conta;001 - BANCO DO BRASIL S/A;3226-3 - CENTRO;11558-4; ;1020.63; ; ;pagamentos_00978433-f167-46c4-b609-20f87605e34f.csv
11120;1;2019-12-12; ; ; ; ; ;162; ;retencoesPagamento_eae33d98-8dc3-4b3c-bd8d-386aae7a29c9.csv;pagamentos_009a2804-6640-4535-89f3-533bd8172e07.csv
11120;1;2019-12-30;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;4838; ; ;pagamentos_009a2804-6640-4535-89f3-533bd8172e07.csv
8411;1;2019-10-07;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;476.54; ; ;pagamentos_00ab0af1-8368-4680-bd2f-00a1fd2a37d2.csv
172;1;2019-10-29; ; ; ; ; ;7388.56; ;retencoesPagamento_953fc915-64e5-4938-a324-04aff618663c.csv;pagamentos_00c4524b-8c2e-44e1-bc7c-d8f385aed76c.csv
172;1;2019-10-30;DÃ©bito em conta;001 - BRASIL;3226-3 - CENTRO;671.376; ;13929.01; ; ;pagamentos_00c4524b-8c2e-44e1-bc7c-d8f385aed76c.csv
5376;1;2019-06-28;DÃ©bito em conta;104 - CAIXA ECONOMICA FEDERAL S/A;0415-4 - CRICIUMA;32-4      ; ;11789.26; ; ;pagamentos_00c67de4-bb9d-4318-be00-b5f18e9f3dc2.csv
 ; ; ;DÃ©bito em conta;104 - CAIXA ECONOMICA FEDERAL S/A;0415-4 - CRICIUMA;672.010-8; ;0; ; ;pagamentos_00c92b11-f1dd-4ffd-9c41-3f330d62082e.csv
5610;1;2019-12-16;DÃ©bito em conta;001 - BANCO DO BRASIL S/A;3226-3 - CENTRO;11558-4; ;1557.75; ; ;pagamentos_00d12ee0-0ac2-41bd-8995-9d42d3826255.csv
9235;1;2019-10-24;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;205.17; ; ;pagamentos_00d9e2a4-7c5a-4599-b042-9db098c9ae28.csv
1909;1;2019-03-27;Cheque;104 - CAIXA ECONOMICA FEDERAL S/A;0415-4 - CRICIUMA;32-4      ; ;66.67; ; ;pagamentos_00de4dc9-f86f-4a12-83c9-495f124b35c0.csv
374;1;2019-01-31;DÃ©bito em conta;104 - CAIXA ECONOMICA FEDERAL S/A;0415-4 - CRICIUMA;32-4      ; ;1803.29; ; ;pagamentos_00e4dddf-3798-421d-809d-4131f1aa2d73.csv
881;1;2019-02-22;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;249.5; ; ;pagamentos_00e6af32-5d6d-40b4-b955-615c51af8b73.csv
5516;1;2019-12-02; ; ; ; ; ;853.74; ;retencoesPagamento_909b71e5-438f-42d0-965b-68e81608a49f.csv;pagamentos_00e71062-d2f5-4161-8540-9d8519a379d1.csv
5516;1;2019-12-16;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;11959.56; ; ;pagamentos_00e71062-d2f5-4161-8540-9d8519a379d1.csv
3057;1;2019-05-16;DÃ©bito em conta;104 - CAIXA ECONOMICA FEDERAL S/A;0415-4 - CRICIUMA;672.010-8; ;42; ; ;pagamentos_00e8f6e4-2cad-4c11-ae69-d28c43e05ec7.csv
5499;1;2019-12-16;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;28800; ; ;pagamentos_00f13b00-f6e1-420c-9bbd-b4c4e8bb9cb2.csv
4289;1;2019-10-04;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;79.79; ; ;pagamentos_00f2f2ec-6e60-454d-949e-0d322142255a.csv
3023;1;2019-08-19;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;24144; ; ;pagamentos_00f41348-659e-4658-8e58-14b6945b780a.csv
1992;1;2019-06-17;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624017-3; ;42000; ; ;pagamentos_00f8632e-eb0f-4329-812f-c2e056524015.csv
7325;1;2019-09-18;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;1093.31; ; ;pagamentos_0107df4a-94b9-4c3e-9da1-eb5109184028.csv
3318;1;2019-08-08;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;1552873.4; ; ;pagamentos_0107f2b7-afe7-4626-822a-e687d7b9b880.csv
9059;1;2019-10-17;Cheque;104 - CAIXA ECONOMICA FEDERAL S/A;0415-4 - CRICIUMA;32-4      ; ;58.7; ; ;pagamentos_010b17ed-b81b-4723-a424-dd21b7b6f0c2.csv
3925;1;2019-06-11;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;1120.54; ; ;pagamentos_0115191e-904b-41b3-917f-bdc68a9156be.csv
4986;1;2019-10-22; ; ; ; ; ;1.31; ;retencoesPagamento_2e90fa5a-a51f-471f-94f6-7da6160b9f30.csv;pagamentos_011a72db-4728-454c-a294-6a137b82d53e.csv
4986;1;2019-11-19;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;32.89; ; ;pagamentos_011a72db-4728-454c-a294-6a137b82d53e.csv
 ; ; ;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;0; ; ;pagamentos_011ba42e-3edc-458e-a760-6a10516eacf4.csv
9667;1;2019-10-24; ; ; ; ; ;33.93; ;retencoesPagamento_d28a65b5-f92a-4ced-8c9d-f35fa9798d04.csv;pagamentos_011bd3de-cec2-4fec-8cdf-f51f8986bd9b.csv
9667;1;2019-11-21;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;1662.46; ; ;pagamentos_011bd3de-cec2-4fec-8cdf-f51f8986bd9b.csv
10999;1;2019-12-23;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;18.729-1; ;826; ; ;pagamentos_011c1747-7dde-4dd0-8b0f-3120ef1cf9c9.csv
2126;1;2019-06-17;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;310; ; ;pagamentos_011d1288-56a2-4a92-9218-ff7790a03e98.csv
2266;1;2019-06-24;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;1998; ; ;pagamentos_011d1288-56a2-4a92-9218-ff7790a03e98.csv
3156;1;2019-04-30;DÃ©bito em conta;104 - CAIXA ECONOMICA FEDERAL S/A;0415-4 - CRICIUMA;32-4      ; ;4411.01; ; ;pagamentos_01225a4d-d81e-4d53-8e29-dc3d562be6a3.csv
8572;1;2019-09-26; ; ; ; ; ;58062.14; ;retencoesPagamento_27e4775c-764e-483c-951b-da1aaae3379f.csv;pagamentos_01251c35-816e-4b33-b63a-2b02d9bb6277.csv
8572;1;2019-09-30;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;146854.62; ; ;pagamentos_01251c35-816e-4b33-b63a-2b02d9bb6277.csv
5398;1;2019-11-28;DÃ©bito em conta;001 - BANCO DO BRASIL S/A;3226-3 - CENTRO;11558-4; ;9843.01; ; ;pagamentos_01257553-7464-48ce-b2ec-3993fc3fba6f.csv
3270;1;2019-07-26; ; ; ; ; ;17357.51; ;retencoesPagamento_38d40131-9fcf-4b02-94a9-faa859b42726.csv;pagamentos_0126bfbb-0adf-45eb-be81-59a6694ef198.csv
3270;1;2019-07-31;DÃ©bito em conta;001 - BANCO DO BRASIL S/A;3226-3 - CENTRO;11558-4; ;62028.64; ; ;pagamentos_0126bfbb-0adf-45eb-be81-59a6694ef198.csv
4825;1;2019-07-01;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;158.04; ; ;pagamentos_01288b60-3979-450f-8096-9c8024ba0756.csv
112;1;2019-02-04;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;59936.64; ; ;pagamentos_012cdcc8-b1bd-494c-826c-d83254e96e1b.csv
535;1;2019-02-27;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;26876.07; ; ;pagamentos_012cdcc8-b1bd-494c-826c-d83254e96e1b.csv
1032;1;2019-04-02;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;54388.26; ; ;pagamentos_012cdcc8-b1bd-494c-826c-d83254e96e1b.csv
1435;1;2019-04-26;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;59530.23; ; ;pagamentos_012cdcc8-b1bd-494c-826c-d83254e96e1b.csv
2009;1;2019-05-28;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;60307.71; ; ;pagamentos_012cdcc8-b1bd-494c-826c-d83254e96e1b.csv
2535;1;2019-07-02;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;60237.03; ; ;pagamentos_012cdcc8-b1bd-494c-826c-d83254e96e1b.csv
3182;1;2019-08-01;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;59671.59; ; ;pagamentos_012cdcc8-b1bd-494c-826c-d83254e96e1b.csv
3621;1;2019-08-28;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;59406.54; ; ;pagamentos_012cdcc8-b1bd-494c-826c-d83254e96e1b.csv
4138;1;2019-10-02;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;60148.68; ; ;pagamentos_012cdcc8-b1bd-494c-826c-d83254e96e1b.csv
4751;1;2019-11-01;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;59547.9; ; ;pagamentos_012cdcc8-b1bd-494c-826c-d83254e96e1b.csv
5324;1;2019-12-06;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;9949.35; ; ;pagamentos_012cdcc8-b1bd-494c-826c-d83254e96e1b.csv
116;1;2019-02-25;DÃ©bito em conta;001 - BANCO DO BRASIL S/A;3226-3 - CENTRO;15.313-3; ;3803.13; ; ;pagamentos_0137cdbf-b290-4d4a-a89a-60c7cad8e36f.csv
250;1;2019-03-22;DÃ©bito em conta;001 - BANCO DO BRASIL S/A;3226-3 - CENTRO;15.313-3; ;3803.13; ; ;pagamentos_0137cdbf-b290-4d4a-a89a-60c7cad8e36f.csv
813;1;2019-07-25;DÃ©bito em conta;001 - BANCO DO BRASIL S/A;3226-3 - CENTRO;15.313-3; ;3062.7; ; ;pagamentos_0137cdbf-b290-4d4a-a89a-60c7cad8e36f.csv
8129;1;2019-09-26;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;512.91; ; ;pagamentos_01396d18-49a5-496b-93e5-9c540c3e6e3a.csv
1090;1;2019-03-22; ; ; ; ; ;31518.77; ;retencoesPagamento_62bce9a0-6412-4c6e-900a-670d23ff9e5a.csv;pagamentos_013beea8-8b97-4e00-ae21-edb542b73f2d.csv
1090;1;2019-03-29;DÃ©bito em conta;001 - BANCO DO BRASIL S/A;3226-3 - CENTRO;11558-4; ;94451.39; ; ;pagamentos_013beea8-8b97-4e00-ae21-edb542b73f2d.csv
 ; ; ;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;16.532-8; ;0; ; ;pagamentos_013cb91b-31f8-4606-bd67-03adb16a38a8.csv
11259;1;2019-12-23;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;16.532-8; ;33479; ; ;pagamentos_013cfb40-8d9b-4822-8fbf-29faf6f4134e.csv
2964;1;2019-05-02;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;19.045-4; ;3720; ; ;pagamentos_013d1eda-51b5-4958-ac40-753088372213.csv
2965;1;2019-05-10;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;19.045-4; ;2686.87; ; ;pagamentos_013d1eda-51b5-4958-ac40-753088372213.csv
2966;1;2019-05-02;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;19.045-4; ;348.75; ; ;pagamentos_013d1eda-51b5-4958-ac40-753088372213.csv
3252;1;2019-05-16;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;19.045-4; ;1024.97; ; ;pagamentos_013d1eda-51b5-4958-ac40-753088372213.csv
3563;1;2019-05-16;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;19.045-4; ;26629.5; ; ;pagamentos_013d1eda-51b5-4958-ac40-753088372213.csv
4104;1;2019-06-12;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;19.045-4; ;6004.08; ; ;pagamentos_013d1eda-51b5-4958-ac40-753088372213.csv
1102;1;2019-02-28;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;20.683-0; ;420.54; ; ;pagamentos_01417a97-8c88-4472-bfca-45d7c683ba19.csv
5586;1;2019-07-10;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;130; ; ;pagamentos_0145abb4-ff50-4aae-9107-3d199e126060.csv
923;1;2019-02-11; ; ; ; ; ;36.39; ;retencoesPagamento_7b939737-c8d5-48b4-b50b-7a643a11d93a.csv;pagamentos_0149802b-783b-47c3-8544-537bb1f5656e.csv
923;1;2019-03-06;DÃ©bito em conta;1 - BANCO DO BRASIL;3226-3 - CENTRO;1700116-1; ;988.71; ; ;pagamentos_0149802b-783b-47c3-8544-537bb1f5656e.csv
128;1;2019-09-05;DÃ©bito em conta;001 - BRASIL;3226-3 - CENTRO;671.376; ;503.33; ; ;pagamentos_0149ce52-ef5b-45f0-a272-b89eefe606e4.csv
2479;1;2019-07-01;DÃ©bito em conta;104 - CAIXA ECONÃMICA FEDERAL - CEF;0415-4 - CRICIUMA;624.016-5; ;9306.6; ; ;pagamentos_01576501-8b04-4fc4-a3fa-2d965042e667.csv
