anoAnulacao;dataAnulacao;valorAnulacao;valorAnuladoRestosProcessados;valorAnuladoRestosNaoProcessados;motivoAnulacao;categoriaAnulacao;origem_arquivo
2019;2019-06-04;208.23;0;0;Pela anula̤̣o; ;anulacoesPagamento_01fbc5b7-866c-488f-8e5a-58b1efd13642.csv
2019;2019-05-02;1276.71;0;0;Pela anula̤̣o; ;anulacoesPagamento_024ca3f9-027f-4957-a487-5458b953359d.csv
2019;2019-12-30;5841.6;0;0;Pela anula̤̣o; ;anulacoesPagamento_0422e906-96f5-48b5-84f8-087e983034b6.csv
2019;2019-02-05;0.1;0;0;Pela anula̤̣o; ;anulacoesPagamento_0543ac6b-fac2-4676-bde4-2829a5b5ecf7.csv
2019;2019-09-06;402.92;0;0;Pela anula̤̣o; ;anulacoesPagamento_06fb9bc7-0acd-479d-9810-bf02f6d12770.csv
2019;2019-11-04;1515.96;0;0;pela anula̤̣o; ;anulacoesPagamento_0ac69768-00cb-401c-a327-bddc682e479b.csv
2019;2019-05-10;119.71;0;0;Pela anula̤̣o; ;anulacoesPagamento_0b25bb90-4aaf-4701-b687-3d473064d8eb.csv
2019;2019-10-01;40.42;0;0;Pela anula̤̣o; ;anulacoesPagamento_0b8ceb62-0b9e-4a31-85c4-881fdbd4469d.csv
2019;2019-12-30;32.46;0;0;pela anula̤̣o; ;anulacoesPagamento_0c92b716-2b12-4a10-8eda-dff4ae213a09.csv
2019;2019-12-30;402.8;0;0;Pela anual̤̣o; ;anulacoesPagamento_0cfdd461-88e1-47c5-bfb2-db93aae9a6ec.csv
2019;2019-11-20;1950.17;0;0;pela regulariza̤̣o; ;anulacoesPagamento_0e60f85d-09ff-417d-a022-30c7359f5b6c.csv
2019;2019-12-20;189.9;0;0;pela anula̤̣o; ;anulacoesPagamento_0f2d8407-ba46-44a1-911f-ca63f34eb8a8.csv
