idLiquidacao;data;parcela;valor;valorRestosNaoProcessados;anulacoesLiquidacao;retencoesLiquidacao;origem_arquivo
4548;2019-09-30;1;622.58;0; ;retencoesLiquidacao_c436f592-5d83-4388-8167-7bccb14129be.csv;liquidacoes_8f301abb-ea8e-4157-80f2-6a934a0a8fcb.csv
4622;2019-10-14;1;872.15;0; ; ;liquidacoes_8f301abb-ea8e-4157-80f2-6a934a0a8fcb.csv
2127;2019-05-21;1;7253.2;0; ; ;liquidacoes_8f35087d-aca5-441d-8663-da3523140cb0.csv
6037;2019-07-18;1;3419.4;0; ; ;liquidacoes_8f3b7cee-816d-4f7c-b14a-1e6a545907c6.csv
105;2019-07-09;1;400;0; ; ;liquidacoes_8f3c4273-008b-42fa-bfa1-fdd617997072.csv
130;2019-08-29;1;400;0; ; ;liquidacoes_8f3c4273-008b-42fa-bfa1-fdd617997072.csv
149;2019-09-24;1;400;0; ; ;liquidacoes_8f3c4273-008b-42fa-bfa1-fdd617997072.csv
98;2019-01-29;1;9336.04;0; ; ;liquidacoes_8f423cd1-a0fe-4e08-915a-35bf3bf6138b.csv
2554;2019-03-29;1;216064.5;0; ;retencoesLiquidacao_11c4bd7e-1130-4e5e-9aca-b52f5a2cd6bf.csv;liquidacoes_8f459b96-e05a-467b-86e5-ab5d68d65ae5.csv
75;2019-01-24;1;575;0; ;retencoesLiquidacao_8c7f3b97-6624-4567-8ace-1730138321c8.csv;liquidacoes_8f4938fb-61d9-484f-8eed-5b64dd93d1c4.csv
2262;2019-05-30;1;5508;0; ; ;liquidacoes_8f4e0e97-ae33-40bc-9777-896714981fda.csv
537;2019-01-31;1;15.23;0; ; ;liquidacoes_8f5e73d5-487c-4dca-9cc9-3fa60ecec0e8.csv
1477;2019-02-28;1;50.9;0; ; ;liquidacoes_8f5e73d5-487c-4dca-9cc9-3fa60ecec0e8.csv
2362;2019-03-29;1;40.72;0; ; ;liquidacoes_8f5e73d5-487c-4dca-9cc9-3fa60ecec0e8.csv
3408;2019-04-30;1;30.54;0; ; ;liquidacoes_8f5e73d5-487c-4dca-9cc9-3fa60ecec0e8.csv
4340;2019-05-31;1;66.17;0; ; ;liquidacoes_8f5e73d5-487c-4dca-9cc9-3fa60ecec0e8.csv
5422;2019-06-28;1;40.72;0; ; ;liquidacoes_8f5e73d5-487c-4dca-9cc9-3fa60ecec0e8.csv
6662;2019-07-31;1;66.56;0; ; ;liquidacoes_8f5e73d5-487c-4dca-9cc9-3fa60ecec0e8.csv
7566;2019-08-30;1;46.98;0; ; ;liquidacoes_8f5e73d5-487c-4dca-9cc9-3fa60ecec0e8.csv
8721;2019-09-30;1;78.37;0; ; ;liquidacoes_8f5e73d5-487c-4dca-9cc9-3fa60ecec0e8.csv
9664;2019-10-31;1;83.52;0; ; ;liquidacoes_8f5e73d5-487c-4dca-9cc9-3fa60ecec0e8.csv
10750;2019-11-29;1;57.42;0; ; ;liquidacoes_8f5e73d5-487c-4dca-9cc9-3fa60ecec0e8.csv
11715;2019-12-31;1;114.84;0; ; ;liquidacoes_8f5e73d5-487c-4dca-9cc9-3fa60ecec0e8.csv
6398;2019-07-18;1;5475.25;0; ; ;liquidacoes_8f64c600-d082-49e3-b324-4de242a2482d.csv
5430;2019-11-29;1;3341.24;0; ;retencoesLiquidacao_3c294cbc-a5fc-49fb-bd9e-dcf4538c9a84.csv;liquidacoes_8f6722f8-4efa-4de7-97b4-9a2f8ce23718.csv
1628;2019-12-31;1;3817.2;0; ; ;liquidacoes_8f69f953-abff-42f4-a1c5-7216cba0b27b.csv
8185;2019-09-19;1;79.79;0; ; ;liquidacoes_8f6b8f96-8c61-45d8-abd5-e83aa9db7694.csv
6096;2019-07-10;1;877.8;0; ;retencoesLiquidacao_c1c4c773-f809-4182-acaa-8a388e81482a.csv;liquidacoes_8f6cd528-6435-483e-9c5f-f17053bf8b55.csv
7898;2019-08-28;1;6493.6;0; ; ;liquidacoes_8f723e87-44eb-444d-b965-f90d42bc0d57.csv
272;2019-01-28;1;313.42;0; ; ;liquidacoes_8f7be2af-b136-46a2-9c2d-121c207fddb4.csv
1147;2019-02-22;1;2043.77;0; ;retencoesLiquidacao_f20f0de0-6a68-4b4b-9b2a-a0634a61c5dd.csv;liquidacoes_8f7d64e2-c1d3-4e2e-9f55-a094432b016f.csv
