ano;data;dataVencimento;itens;numero;ocorrencias;origem_arquivo
2019;2019-09-20;2020-09-20;itens_36160970-71f2-40a5-be7a-e7d69cdcd581.csv;77; ;atasRegistroPrecos_babf7385-94bb-41af-bbbf-f05b7c888fe7.csv
2019;2019-09-20;2020-09-20;itens_57ea6ef6-0710-4334-9fd7-eed8a92bca62.csv;76; ;atasRegistroPrecos_babf7385-94bb-41af-bbbf-f05b7c888fe7.csv
2019;2019-09-20;2020-09-20;itens_36839898-cc8e-403a-8b3a-3fb29d149479.csv;73; ;atasRegistroPrecos_babf7385-94bb-41af-bbbf-f05b7c888fe7.csv
2019;2019-07-04;2020-07-04;itens_002f3bd5-4c88-46cb-842c-fb7a64466335.csv;64; ;atasRegistroPrecos_bd5391ce-f556-480f-a477-0797f89c0ea6.csv
2019;2019-07-04;2020-07-04;itens_7445b299-e709-4c00-8886-7d885b42e411.csv;15; ;atasRegistroPrecos_bd5391ce-f556-480f-a477-0797f89c0ea6.csv
2019;2019-07-04;2020-07-04;itens_d4a882c5-c870-4edc-8fff-6699f711b8a9.csv;63; ;atasRegistroPrecos_bd5391ce-f556-480f-a477-0797f89c0ea6.csv
2019;2019-04-15;2020-04-15;itens_516cfb6e-a90c-4338-8740-e316d587e312.csv;111; ;atasRegistroPrecos_be92577e-6377-466b-99dc-9cb3cf95a362.csv
2019;2019-04-15;2020-04-15;itens_a833c784-ddba-432c-8ab2-aa95ad2846cc.csv;112; ;atasRegistroPrecos_be92577e-6377-466b-99dc-9cb3cf95a362.csv
2019;2019-04-15;2020-04-15;itens_d81e3a0e-4adb-41aa-a81c-f8ec9b6078a2.csv;20; ;atasRegistroPrecos_be92577e-6377-466b-99dc-9cb3cf95a362.csv
2019;2019-04-15;2020-04-15;itens_4b415bfc-d6c9-4b6f-b391-432fa840603c.csv;113; ;atasRegistroPrecos_be92577e-6377-466b-99dc-9cb3cf95a362.csv
2019;2019-05-24;2020-05-24;itens_181e05f1-30d5-47dc-86ad-81ef0f298b12.csv;123; ;atasRegistroPrecos_bfbbcb2e-a742-422c-9320-e019824e6155.csv
2019;2019-05-24;2020-05-24;itens_b605d1fa-27c7-4b1f-ba6f-3061b69c5498.csv;124; ;atasRegistroPrecos_bfbbcb2e-a742-422c-9320-e019824e6155.csv
2019;2019-05-24;2020-05-24;itens_0fef599a-d3c2-458d-877d-42707251b20b.csv;33; ;atasRegistroPrecos_bfbbcb2e-a742-422c-9320-e019824e6155.csv
2019;2019-05-24;2020-05-24;itens_cbeddc8c-1533-46b0-9a50-f433a36cb879.csv;125; ;atasRegistroPrecos_bfbbcb2e-a742-422c-9320-e019824e6155.csv
2019;2019-05-24;2020-05-24;itens_b77f6f87-8421-4e0d-82d1-c34e933cbd12.csv;122; ;atasRegistroPrecos_bfbbcb2e-a742-422c-9320-e019824e6155.csv
2019;2019-05-06;2020-05-06;itens_74ea7232-6744-4ee2-b8a0-bc56c4b9bdcb.csv;27; ;atasRegistroPrecos_c25fc125-4dc6-4b30-9170-61e63f6611fb.csv
2019;2019-08-08;2020-08-08;itens_a44143e2-379d-41cb-943e-bb83aae2d76c.csv;72; ;atasRegistroPrecos_c2f457c3-991f-475b-8dae-508a8d132394.csv
2019;2019-08-08;2020-08-08;itens_f0f274fc-a8bc-4c4a-a40e-1697eab19008.csv;70; ;atasRegistroPrecos_c2f457c3-991f-475b-8dae-508a8d132394.csv
2019;2019-08-08;2020-08-08;itens_e9a2d9dc-c3b3-40c7-99a2-2ca712a3fe93.csv;69; ;atasRegistroPrecos_c2f457c3-991f-475b-8dae-508a8d132394.csv
2019;2019-08-08;2020-08-08;itens_11625eb5-9b9c-4e32-a8b5-5cbf2f3419cd.csv;71; ;atasRegistroPrecos_c2f457c3-991f-475b-8dae-508a8d132394.csv
2019;2019-08-08;2020-08-08;itens_2ba9fcd1-3cf3-4cd4-bcaf-9c36cccd4189.csv;18; ;atasRegistroPrecos_c2f457c3-991f-475b-8dae-508a8d132394.csv
2019;2019-04-29;2020-04-29;itens_c3d29c20-f9b5-4ade-abec-609e3eb08922.csv;119; ;atasRegistroPrecos_c308495a-d9be-4548-ba09-53b5a8eabad8.csv
2019;2019-04-29;2020-04-29;itens_028e51c6-0932-40aa-9b4c-664c2fd9a3a4.csv;25; ;atasRegistroPrecos_c308495a-d9be-4548-ba09-53b5a8eabad8.csv
2019;2019-10-09;2020-10-09;itens_a81fae48-96ce-49d7-abad-2b760f303db0.csv;80; ;atasRegistroPrecos_c6a2f460-eff4-4238-9622-c0eaa2ef1584.csv
2019;2019-10-09;2020-10-09;itens_d5b95ca1-de61-414e-a7dd-2beb45ca0622.csv;87; ;atasRegistroPrecos_c6a2f460-eff4-4238-9622-c0eaa2ef1584.csv
2019;2019-10-09;2020-10-09;itens_4f0fde2d-93d6-4af1-bb20-86e14afc9ea3.csv;85; ;atasRegistroPrecos_c6a2f460-eff4-4238-9622-c0eaa2ef1584.csv
2019;2019-10-09;2020-10-09;itens_a49189f9-657e-4178-9c05-33e9240d3656.csv;86; ;atasRegistroPrecos_c6a2f460-eff4-4238-9622-c0eaa2ef1584.csv
2019;2019-10-09;2020-10-09;itens_19082945-0683-425f-9775-9785c9974c3b.csv;88; ;atasRegistroPrecos_c6a2f460-eff4-4238-9622-c0eaa2ef1584.csv
2019;2019-10-09;2020-10-09;itens_4175c4fc-72d8-4457-89e5-d48d6ce368c0.csv;82; ;atasRegistroPrecos_c6a2f460-eff4-4238-9622-c0eaa2ef1584.csv
2019;2019-10-09;2020-10-09;itens_99f0ac6c-a012-45ab-9be1-ccda5bb544da.csv;81; ;atasRegistroPrecos_c6a2f460-eff4-4238-9622-c0eaa2ef1584.csv
2019;2019-10-09;2020-10-09;itens_7543b6df-37e6-4682-8ab1-614216aa555b.csv;89; ;atasRegistroPrecos_c6a2f460-eff4-4238-9622-c0eaa2ef1584.csv
2019;2019-10-09;2020-10-09;itens_43327084-3583-4684-94dc-a89c7ea1e20d.csv;22; ;atasRegistroPrecos_c6a2f460-eff4-4238-9622-c0eaa2ef1584.csv
2019;2019-10-09;2020-10-09;itens_c556a272-1f71-4eac-ae80-05b78532a93c.csv;79; ;atasRegistroPrecos_c6a2f460-eff4-4238-9622-c0eaa2ef1584.csv
2019;2019-10-09;2020-10-09;itens_60a68002-c29d-4768-84af-d8939d20279a.csv;84; ;atasRegistroPrecos_c6a2f460-eff4-4238-9622-c0eaa2ef1584.csv
2019;2019-10-09;2020-10-09;itens_29adb807-7cdb-4c54-8ca4-416e080b13be.csv;83; ;atasRegistroPrecos_c6a2f460-eff4-4238-9622-c0eaa2ef1584.csv
2020;2020-01-10;2021-01-10;itens_f9cdf423-708c-4049-be35-9192d7a67815.csv;1; ;atasRegistroPrecos_c9294708-f052-417e-b9cf-38df6cb475db.csv
2020;2020-01-10;2021-01-10;itens_a467a261-d703-4bf1-9dd2-8ca1b6bb46eb.csv;44; ;atasRegistroPrecos_c9294708-f052-417e-b9cf-38df6cb475db.csv
2020;2020-01-10;2021-01-10;itens_41873d8a-aab9-4e7e-8293-931b8b2c87ec.csv;45; ;atasRegistroPrecos_c9294708-f052-417e-b9cf-38df6cb475db.csv
2020;2020-01-10;2021-01-10;itens_ae1cdc85-b94f-4c61-9808-99f90870cb95.csv;41; ;atasRegistroPrecos_c9294708-f052-417e-b9cf-38df6cb475db.csv
2020;2020-01-10;2021-01-10;itens_8b2aac08-2767-480b-b16e-5bebffc9b6e1.csv;42; ;atasRegistroPrecos_c9294708-f052-417e-b9cf-38df6cb475db.csv
2020;2020-01-10;2021-01-10;itens_9e6ae046-aae9-47d2-9c43-55e5bc0e67f8.csv;43; ;atasRegistroPrecos_c9294708-f052-417e-b9cf-38df6cb475db.csv
2019;2019-09-06;2020-09-06;itens_afd9970a-e858-41af-9b73-cf76b3bd8d4d.csv;63; ;atasRegistroPrecos_cb53a138-2964-4cbf-9f2a-009f96528c81.csv
2019;2019-05-07;2020-05-07;itens_1e616b1b-ede2-4aa3-a683-d7cf5720a215.csv;28; ;atasRegistroPrecos_cc4bd34e-2ff2-4424-85f1-873c147ebcfe.csv
2019;2019-12-09;2020-12-09;itens_ebf48593-f759-4af6-a549-a92ee5683eda.csv;182; ;atasRegistroPrecos_cd0e7692-ca78-4819-ac05-bd3f1ee2dce6.csv
2019;2019-12-09;2020-12-09;itens_f0b77cb0-7e7c-4e4c-be32-1fa34f1cd9d0.csv;79; ;atasRegistroPrecos_cd0e7692-ca78-4819-ac05-bd3f1ee2dce6.csv
2019;2019-11-08;2020-11-08;itens_f004d229-372b-475a-80f7-861d486c565e.csv;128; ;atasRegistroPrecos_cf90117a-1218-4f1f-bc2b-41030c37f109.csv
2019;2019-11-08;2020-11-08;itens_ebabfed0-f73f-4343-bf93-6b6fee291546.csv;27; ;atasRegistroPrecos_cf90117a-1218-4f1f-bc2b-41030c37f109.csv
2019;2019-11-08;2020-11-08;itens_665f2ad9-bbe6-4ca8-8759-47c19788e21a.csv;130; ;atasRegistroPrecos_cf90117a-1218-4f1f-bc2b-41030c37f109.csv
2019;2019-11-08;2020-11-08;itens_7d2e5e2c-e80e-4e54-80fc-066f17da34c5.csv;129; ;atasRegistroPrecos_cf90117a-1218-4f1f-bc2b-41030c37f109.csv
2019;2019-10-28;2020-10-28;itens_310a4152-1ee7-45d1-a540-6b9234e690f0.csv;161; ;atasRegistroPrecos_d1732394-0899-4bf7-95b5-f26fffbc59a4.csv
2019;2019-10-28;2020-10-28;itens_006e9486-6e7b-47e3-af59-1ffb13947004.csv;165; ;atasRegistroPrecos_d1732394-0899-4bf7-95b5-f26fffbc59a4.csv
2019;2019-10-28;2020-10-28;itens_0253ea27-8fa0-459c-9a32-7121d31ff668.csv;166; ;atasRegistroPrecos_d1732394-0899-4bf7-95b5-f26fffbc59a4.csv
2019;2019-10-28;2020-10-28;itens_11b413b6-67a7-418c-bcaf-1ed9eff2801e.csv;72; ;atasRegistroPrecos_d1732394-0899-4bf7-95b5-f26fffbc59a4.csv
2019;2019-10-28;2020-10-28;itens_0b3e4c30-65a4-415a-8911-8792180bbd59.csv;168; ;atasRegistroPrecos_d1732394-0899-4bf7-95b5-f26fffbc59a4.csv
2019;2019-10-28;2020-10-28;itens_6149dc0c-9dba-40fb-8440-2b26ae213aee.csv;164; ;atasRegistroPrecos_d1732394-0899-4bf7-95b5-f26fffbc59a4.csv
2019;2019-10-28;2020-10-28;itens_0b762eea-aa40-496f-b812-be0580e32d31.csv;162; ;atasRegistroPrecos_d1732394-0899-4bf7-95b5-f26fffbc59a4.csv
2019;2019-10-28;2020-10-28;itens_c0d7ce24-a361-457d-82bf-43b1febc406b.csv;167; ;atasRegistroPrecos_d1732394-0899-4bf7-95b5-f26fffbc59a4.csv
2019;2019-10-28;2020-10-28;itens_15cb2a89-590c-4e6a-b225-1633e8a3694b.csv;163; ;atasRegistroPrecos_d1732394-0899-4bf7-95b5-f26fffbc59a4.csv
