cnpjCpfVencedor;codigo;descricao;numero;participanteVencedor;quantidade;unidadeMedida;valorTotalReferencia;valorTotalVencedor;valorUnitarioReferencia;valorUnitarioVencedor;origem_arquivo
83.669.614/0001-98;10374590;Bota PVC preta cano medio;3;TIMACO TIJOLOS MATERIAL DE CONSTRUCOES LTDA;70.0;PAR;2256.8;2098.6;32.24;29.98;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
83.669.614/0001-98;10377351;Botina com elÃ¡stico sola PU BI-DENSIDADE com bico de proteÃ§Ã£;4;TIMACO TIJOLOS MATERIAL DE CONSTRUCOES LTDA;200.0;PAR;5942.0;9246.0;29.71;46.23;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
83.669.614/0001-98;10374592;Capa chuva PVC forrado com manga CA - G;6;TIMACO TIJOLOS MATERIAL DE CONSTRUCOES LTDA;150.0;UND;3450.0;3208.5;23.0;21.39;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
83.669.614/0001-98;10366888;Luva raspa 07cm;17;TIMACO TIJOLOS MATERIAL DE CONSTRUCOES LTDA;600.0;PAR;4536.0;4218.0;7.56;7.03;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
83.669.614/0001-98;10377356;Luva Tricotada Grip;18;TIMACO TIJOLOS MATERIAL DE CONSTRUCOES LTDA;600.0;UND;4260.0;3960.0;7.1;6.6;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
83.669.614/0001-98;101400770;LUVA VAQUETA;19;TIMACO TIJOLOS MATERIAL DE CONSTRUCOES LTDA;600.0;UND;8334.0;7746.0;13.89;12.91;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
10.442.984/0001-14;10369496;ABAFADOR DE RUÃDOS;1;DICRIL - PRODUTOS E EQUIPAMENTOS PARA LIMPEZA E HIGIENE LTDA;30.0;UND;1050.0;987.0;35.0;32.9;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
10.442.984/0001-14;10115529;AVENTAL RASPA;2;DICRIL - PRODUTOS E EQUIPAMENTOS PARA LIMPEZA E HIGIENE LTDA;40.0;UND;1526.8;1435.2;38.17;35.88;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
10.442.984/0001-14;10377352;Botina com elastico sola PU BI-DENSIDADE - CONTER CA E APRES;5;DICRIL - PRODUTOS E EQUIPAMENTOS PARA LIMPEZA E HIGIENE LTDA;900.0;PAR;41076.0;38610.0;45.64;42.9;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
10.442.984/0001-14;10367789;Capacete classe B;7;DICRIL - PRODUTOS E EQUIPAMENTOS PARA LIMPEZA E HIGIENE LTDA;30.0;UND;587.4;552.3;19.58;18.41;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
10.442.984/0001-14;10374594;Chapeu de palha aba longa;8;DICRIL - PRODUTOS E EQUIPAMENTOS PARA LIMPEZA E HIGIENE LTDA;300.0;UND;4098.0;3852.0;13.66;12.84;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
10.442.984/0001-14;10374595;Cinto tipo paraquedista.;9;DICRIL - PRODUTOS E EQUIPAMENTOS PARA LIMPEZA E HIGIENE LTDA;5.0;UND;3462.5;3254.75;692.5;650.95;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
10.442.984/0001-14;10360173;Cone 50cm preto/amarelo;10;DICRIL - PRODUTOS E EQUIPAMENTOS PARA LIMPEZA E HIGIENE LTDA;70.0;UND;928.9;872.9;13.27;12.47;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
10.442.984/0001-14;10360174;Cone 75cm preto/amarelo;11;DICRIL - PRODUTOS E EQUIPAMENTOS PARA LIMPEZA E HIGIENE LTDA;70.0;UND;1772.4;1666.0;25.32;23.8;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
10.442.984/0001-14;10377353;Creme proteror de seguranÃ§a para as mÃ£os;12;DICRIL - PRODUTOS E EQUIPAMENTOS PARA LIMPEZA E HIGIENE LTDA;60.0;UND;714.0;671.4;11.9;11.19;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
10.442.984/0001-14;10377354;Creme protetor solar com repelente FPS-30 bisnaga;13;DICRIL - PRODUTOS E EQUIPAMENTOS PARA LIMPEZA E HIGIENE LTDA;850.0;UND;15725.0;14781.5;18.5;17.39;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
10.442.984/0001-14;10377355;MacacÃ£o saneamento com bota;14;DICRIL - PRODUTOS E EQUIPAMENTOS PARA LIMPEZA E HIGIENE LTDA;30.0;UND;4798.5;4510.5;159.95;150.35;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
10.442.984/0001-14;10374598;Luva algodÃ£o pigmentada 4 fios;15;DICRIL - PRODUTOS E EQUIPAMENTOS PARA LIMPEZA E HIGIENE LTDA;600.0;PAR;1656.0;1554.0;2.76;2.59;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
10.442.984/0001-14;10374599;Luva nitrilica;16;DICRIL - PRODUTOS E EQUIPAMENTOS PARA LIMPEZA E HIGIENE LTDA;200.0;PAR;1460.0;1372.0;7.3;6.86;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
10.442.984/0001-14;10377357;Luva vaqueta para cobertura;20;DICRIL - PRODUTOS E EQUIPAMENTOS PARA LIMPEZA E HIGIENE LTDA;40.0;PAR;1888.0;1774.8;47.2;44.37;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
10.442.984/0001-14;10374602;Maleta de couro para ferramenta.;21;DICRIL - PRODUTOS E EQUIPAMENTOS PARA LIMPEZA E HIGIENE LTDA;3.0;PC;654.03;614.79;218.01;204.93;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
10.442.984/0001-14;10367793;Manga para solda;22;DICRIL - PRODUTOS E EQUIPAMENTOS PARA LIMPEZA E HIGIENE LTDA;10.0;PAR;250.0;235.0;25.0;23.5;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
10.442.984/0001-14;10377358;Ãculos de proteÃ§Ã£o em policarbonato (incolor, fume);23;DICRIL - PRODUTOS E EQUIPAMENTOS PARA LIMPEZA E HIGIENE LTDA;300.0;UND;1605.0;1506.0;5.35;5.02;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
10.442.984/0001-14;10377359;Ãculos de seguranÃ§a com tonalidade 5.0.;24;DICRIL - PRODUTOS E EQUIPAMENTOS PARA LIMPEZA E HIGIENE LTDA;50.0;UND;1630.5;1532.5;32.61;30.65;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
10.442.984/0001-14;10364267;Protetor (NRR SF 16DB);25;DICRIL - PRODUTOS E EQUIPAMENTOS PARA LIMPEZA E HIGIENE LTDA;500.0;PAR;795.0;745.0;1.59;1.49;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
10.442.984/0001-14;10377360;Protetor facial incolor 158C;26;DICRIL - PRODUTOS E EQUIPAMENTOS PARA LIMPEZA E HIGIENE LTDA;5.0;UND;200.0;188.0;40.0;37.6;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
10.442.984/0001-14;10377361;Respirador com carvÃ£o ativado e valvula;27;DICRIL - PRODUTOS E EQUIPAMENTOS PARA LIMPEZA E HIGIENE LTDA;300.0;UND;768.0;723.0;2.56;2.41;itensVencedores_0004e2fb-a75f-4e59-b720-cd082e8a2073.csv
00.247.513/0001-00;10375058;COPOS DESCARTÃVEIS PARA CAFÃ DE 50ml.;1;LIPAPER LIVRARIA INF. E PAPELARIA LTDA.;55.0;CX;3399.0;2678.5;61.8;48.7;itensVencedores_003cac9b-1579-4df4-9f33-8f95d57b9837.csv
14.309.817/0001-50;10375059;"COPOS DESCARTÃVEIS PARA ÃGUA DE 180ml;";2;BIG MIX COM. VAREJISTA DE VARIEDADES;860.0;CX;61490.0;48667.4;71.5;56.59;itensVencedores_003cac9b-1579-4df4-9f33-8f95d57b9837.csv
79.394.102/0001-99;35065;PROTESE TRANSTIBIAL;1;ULLA VESTERGAARD LISBOA & CIA LTDA;1.0;UNI;10000.0;10000.0;10000.0;10000.0;itensVencedores_00d3c58b-9a6e-46e9-9833-357ed15bd874.csv
11.223.639/0001-52;10379385;Kit cameras de rÃ© universal(instalada) Conforme ResoluÃ§Ã£o NÂº;1;RAMON DAROS AMARO;15.0;KIT;27750.0;26355.0;1850.0;1757.0;itensVencedores_00ea2de3-bc10-48ca-bf4d-b51955822fbe.csv
11.223.639/0001-52;10379386;Insulfilmes;2;RAMON DAROS AMARO;1000.0;M2;35000.0;33500.0;35.0;33.5;itensVencedores_00ea2de3-bc10-48ca-bf4d-b51955822fbe.csv
97.463.327/0001-31;10377363;IMPRESSÃO PRETO E BRANCO, TAMANHO A4, FOLHA BRANCA, PAPEL 75;1;MULTICOPIAS COMERCIO E SERVICOS LTDA - ME;2000.0;UND;500.0;400.0;0.25;0.2;itensVencedores_01bd7141-be42-4c08-98f3-415eda280ca4.csv
97.463.327/0001-31;10377364;IMPRESSÃO COLORIDA, TAMANHO A4, FOLHA BRANCA, PAPEL 75 M/G,;2;MULTICOPIAS COMERCIO E SERVICOS LTDA - ME;1000.0;UND;1770.0;1430.0;1.77;1.43;itensVencedores_01bd7141-be42-4c08-98f3-415eda280ca4.csv
97.463.327/0001-31;10373467;ImpressÃ£o preto e branco, tamanho A3, folha branca, PAPEL 75;3;MULTICOPIAS COMERCIO E SERVICOS LTDA - ME;1000.0;UND;770.0;620.0;0.77;0.62;itensVencedores_01bd7141-be42-4c08-98f3-415eda280ca4.csv
97.463.327/0001-31;340100272;IMPRESSÃO COLORIDA, TAMANHO A3, FOLHA BRANCA, PAPEL 75 M/G,;4;MULTICOPIAS COMERCIO E SERVICOS LTDA - ME;500.0;UND;1750.0;1410.0;3.5;2.82;itensVencedores_01bd7141-be42-4c08-98f3-415eda280ca4.csv
97.463.327/0001-31;340100273;ENCADERNAÃÃO EM ESPIRAL ATÃ 100 FOLHAS, TAMANHO A4, COM CAPA;5;MULTICOPIAS COMERCIO E SERVICOS LTDA - ME;200.0;UND;1100.0;886.0;5.5;4.43;itensVencedores_01bd7141-be42-4c08-98f3-415eda280ca4.csv
97.463.327/0001-31;340100274;ENCADERNAÃÃO EM ESPIRAL ACIMA DE 100 FOLHAS, TAMANHO A4, COM;6;MULTICOPIAS COMERCIO E SERVICOS LTDA - ME;50.0;UND;316.5;255.0;6.33;5.1;itensVencedores_01bd7141-be42-4c08-98f3-415eda280ca4.csv
97.463.327/0001-31;10377365;PLOTAGEM DE VEÃCULO;7;MULTICOPIAS COMERCIO E SERVICOS LTDA - ME;200.0;M2;26666.0;21496.0;133.33;107.48;itensVencedores_01bd7141-be42-4c08-98f3-415eda280ca4.csv
13.273.877/0001-06;670;CAFÃ DA MANHÃ;1;SAO BENTO ALIMENTOS E EVENTOS EIRELI;5510.0;UND;42978.0;42757.6;7.8;7.76;itensVencedores_01cc393f-c40f-4264-979b-f05be643e16b.csv
13.273.877/0001-06;198;AlmoÃ§o;2;SAO BENTO ALIMENTOS E EVENTOS EIRELI;5510.0;UND;90859.9;84909.1;16.49;15.41;itensVencedores_01cc393f-c40f-4264-979b-f05be643e16b.csv
13.273.877/0001-06;51100344;Lanche.;3;SAO BENTO ALIMENTOS E EVENTOS EIRELI;2490.0;UND;23281.5;23157.0;9.35;9.3;itensVencedores_01cc393f-c40f-4264-979b-f05be643e16b.csv
13.273.877/0001-06;671;JANTAR;4;SAO BENTO ALIMENTOS E EVENTOS EIRELI;6110.0;UND;100753.9;94155.1;16.49;15.41;itensVencedores_01cc393f-c40f-4264-979b-f05be643e16b.csv
05.748.155/0001-24;340100476;ConfecÃ§Ã£o de convite tam. 21x29,7 em papel couche matte 210.;1;DELTA EDITORA E SERVIÃOS GRAFICOS LTDA.;6000.0;UND;1560.0;1440.0;0.26;0.24;itensVencedores_021b1c43-03d9-4ffc-95a5-5870c04441b0.csv
05.748.155/0001-24;12;ConfecÃ§Ã£o de panfletos de programaÃ§Ã£o;2;DELTA EDITORA E SERVIÃOS GRAFICOS LTDA.;15000.0;UND;1200.0;1200.0;0.08;0.08;itensVencedores_021b1c43-03d9-4ffc-95a5-5870c04441b0.csv
05.748.155/0001-24;217;ConfecÃ§Ã£o de cartaz publicitÃ¡rio 4x0 cores, papel couche.;3;DELTA EDITORA E SERVIÃOS GRAFICOS LTDA.;6000.0;UND;2040.0;1920.0;0.34;0.32;itensVencedores_021b1c43-03d9-4ffc-95a5-5870c04441b0.csv
05.748.155/0001-24;1476;ConfecÃ§Ã£o de cartaz publicitario, 4x0 cores, tam. 40x60, pap;4;DELTA EDITORA E SERVIÃOS GRAFICOS LTDA.;6000.0;UND;3420.0;3180.0;0.57;0.53;itensVencedores_021b1c43-03d9-4ffc-95a5-5870c04441b0.csv
05.748.155/0001-24;1477;ConfecÃ§Ã£o de folder, 4x4 cores, papel couche 180gr, tam. A-4;5;DELTA EDITORA E SERVIÃOS GRAFICOS LTDA.;20000.0;UND;4000.0;3800.0;0.2;0.19;itensVencedores_021b1c43-03d9-4ffc-95a5-5870c04441b0.csv
05.748.155/0001-24;1478;ConfecÃ§Ã£o de banners tam 1,20x0,90, em lona c/ acabamento.;6;DELTA EDITORA E SERVIÃOS GRAFICOS LTDA.;400.0;UND;24000.0;21600.0;60.0;54.0;itensVencedores_021b1c43-03d9-4ffc-95a5-5870c04441b0.csv
05.748.155/0001-24;1479;ConfecÃ§Ã£o de certificados tam. A4 em papel reciclado 180gr.;7;DELTA EDITORA E SERVIÃOS GRAFICOS LTDA.;400.0;UND;484.0;472.0;1.21;1.18;itensVencedores_021b1c43-03d9-4ffc-95a5-5870c04441b0.csv
05.748.155/0001-24;10384291;ConfecÃ§Ã£o de convite 4x4 papel adesivo grosso.;8;DELTA EDITORA E SERVIÃOS GRAFICOS LTDA.;6000.0;UND;1620.0;1560.0;0.27;0.26;itensVencedores_021b1c43-03d9-4ffc-95a5-5870c04441b0.csv
05.748.155/0001-24;1481;ConfecÃ§Ã£o de envelope tam 36,5x25,4 - 1 cor.;9;DELTA EDITORA E SERVIÃOS GRAFICOS LTDA.;6000.0;UND;1500.0;1500.0;0.25;0.25;itensVencedores_021b1c43-03d9-4ffc-95a5-5870c04441b0.csv
05.748.155/0001-24;1482;ConfecÃ§Ã£o de flyers frente e verso em 4x4 cores, 15x21 cm, p;10;DELTA EDITORA E SERVIÃOS GRAFICOS LTDA.;6000.0;UND;900.0;900.0;0.15;0.15;itensVencedores_021b1c43-03d9-4ffc-95a5-5870c04441b0.csv
05.748.155/0001-24;1483;ConfecÃ§Ã£o de folders em papel couche 150gr, tam. A-4 c/ 2 do;11;DELTA EDITORA E SERVIÃOS GRAFICOS LTDA.;6000.0;UND;1320.0;1260.0;0.22;0.21;itensVencedores_021b1c43-03d9-4ffc-95a5-5870c04441b0.csv
05.748.155/0001-24;1484;ConfecÃ§Ã£o de cartazes, tam A-3 em papel couche brilho 150 gr;12;DELTA EDITORA E SERVIÃOS GRAFICOS LTDA.;4000.0;UND;1320.0;1280.0;0.33;0.32;itensVencedores_021b1c43-03d9-4ffc-95a5-5870c04441b0.csv
05.748.155/0001-24;1485;ConfecÃ§Ã£o de cartazes tam A3 em papel cocuhe 115g.;13;DELTA EDITORA E SERVIÃOS GRAFICOS LTDA.;4000.0;UND;1120.0;1080.0;0.28;0.27;itensVencedores_021b1c43-03d9-4ffc-95a5-5870c04441b0.csv
05.748.155/0001-24;10380247;ConfecÃ§Ã£o de etiquetas adesivas, plasticas, numeradas, tam 5;14;DELTA EDITORA E SERVIÃOS GRAFICOS LTDA.;6000.0;UND;1500.0;1440.0;0.25;0.24;itensVencedores_021b1c43-03d9-4ffc-95a5-5870c04441b0.csv
05.748.155/0001-24;1487;ConfecÃ§Ã£o de etiquetas adesivas, plasticas, tam 7x4cm.;15;DELTA EDITORA E SERVIÃOS GRAFICOS LTDA.;6000.0;UND;1320.0;1260.0;0.22;0.21;itensVencedores_021b1c43-03d9-4ffc-95a5-5870c04441b0.csv
76.340.132/0001-24;10379182;Cabine,operador de porta,portas de pavimento automÃ¡ticas;1;ELEVADORES CASTELO LTDA;1.0;UND;78502.0;66608.21;78502.0;66608.21;itensVencedores_022ef9b8-3507-4320-9d6f-485de96cd28a.csv
76.340.132/0001-24;10379183;"mao de  obra;";2;ELEVADORES CASTELO LTDA;1.0;SV;9900.0;8391.79;9900.0;8391.79;itensVencedores_022ef9b8-3507-4320-9d6f-485de96cd28a.csv
01.669.321/0001-46;10378826;Bloco de concreto do tipo lajota sextavada 0,30 x 0,30 x 0,8;1;RM INDUSTRIA E COMERCIO DE ARTEFATOS DE CIMENTO LTDA;50000.0;M2;1550000.0;1340000.0;31.0;26.8;itensVencedores_024765a4-f003-48a5-984f-9ddba2ca0d60.csv
01.669.321/0001-46;10378827;Bloco de concreto modelo briquete, com 28 x 18,5 x 8 cm;2;RM INDUSTRIA E COMERCIO DE ARTEFATOS DE CIMENTO LTDA;5000.0;M2;155000.0;152500.0;31.0;30.5;itensVencedores_024765a4-f003-48a5-984f-9ddba2ca0d60.csv
04.196.147/0001-50;10378081;Consulta e leitura de publicaÃ§Ãµes d;1;INFODIGI INFORMAÃÃES DIGITAIS LTDA EPP;1.0;ANO;2095.2;2095.2;2095.2;2095.2;itensVencedores_0323f732-e8f3-4765-8ecb-ee3c5f13ea57.csv
09.645.568/0001-34;10379006;Fornecimento e implantaÃ§Ã£o de tachÃ£o a base de resina - Bi d;1;FRANKS ALVES BERTO;1500.0;UND;52500.0;47250.0;35.0;31.5;itensVencedores_03390aaa-91a6-4616-b726-3e603ba8117a.csv
09.645.568/0001-34;10379007;Fornecimento e implantaÃ§Ã£o de TachÃ£o a base de resina - Mono;2;FRANKS ALVES BERTO;800.0;UND;28000.0;25200.0;35.0;31.5;itensVencedores_03390aaa-91a6-4616-b726-3e603ba8117a.csv
09.645.568/0001-34;10379008;Fornecimento e implantaÃ§Ã£o de Tachinha Bi direcional 11 x 8;3;FRANKS ALVES BERTO;400.0;UND;6000.0;5400.0;15.0;13.5;itensVencedores_03390aaa-91a6-4616-b726-3e603ba8117a.csv
09.645.568/0001-34;10379009;Fornecimento e implantaÃ§Ã£o de Tachinha Mono direcional 11 x;4;FRANKS ALVES BERTO;400.0;UND;6000.0;5400.0;15.0;13.5;itensVencedores_03390aaa-91a6-4616-b726-3e603ba8117a.csv
10.599.044/0001-33;10379727;Reforma do prÃ©dio do CENTRO COMUNITÃRIO DO BAIRRO ESTAÃÃOZIN;1;CONSONI CONSTRUCOES LTDA;1.0;SV;79928.96;70000.0;79928.96;70000.0;itensVencedores_033ca142-b9d6-4b1c-b217-d8c8d4170377.csv
27.773.088/0001-30;1518;CASA DA CULTURA;1;NIELISON DE OLIVEIRA MOTA 03987371935;1.0;SERV;1.0;6795.18;1.0;6795.18;itensVencedores_03bd3055-2503-4caf-9d4a-12c8e3075d1a.csv
27.773.088/0001-30;1519;PRAÃA NEREU RAMOS;2;NIELISON DE OLIVEIRA MOTA 03987371935;1.0;SERV;1.0;41398.06;1.0;41398.06;itensVencedores_03bd3055-2503-4caf-9d4a-12c8e3075d1a.csv
27.773.088/0001-30;1520;CASA DO AGENTE FERROVIÃRIO;3;NIELISON DE OLIVEIRA MOTA 03987371935;1.0;SERV;1.0;7674.94;1.0;7674.94;itensVencedores_03bd3055-2503-4caf-9d4a-12c8e3075d1a.csv
27.773.088/0001-30;1521;MUSEU AUGUSTO CASAGRANDE;4;NIELISON DE OLIVEIRA MOTA 03987371935;1.0;SERV;1.0;8281.96;1.0;8281.96;itensVencedores_03bd3055-2503-4caf-9d4a-12c8e3075d1a.csv
27.773.088/0001-30;1522;CENTRO CULTURAL JORGE ZANATTA;5;NIELISON DE OLIVEIRA MOTA 03987371935;1.0;SERV;1.0;33075.72;1.0;33075.72;itensVencedores_03bd3055-2503-4caf-9d4a-12c8e3075d1a.csv
27.773.088/0001-30;1523;PARQUE DAS NAÃÃES;6;NIELISON DE OLIVEIRA MOTA 03987371935;1.0;SERV;1.0;20518.51;1.0;20518.51;itensVencedores_03bd3055-2503-4caf-9d4a-12c8e3075d1a.csv
27.773.088/0001-30;1524;Parque dos imigrantes;7;NIELISON DE OLIVEIRA MOTA 03987371935;1.0;SERV;1.0;17144.13;1.0;17144.13;itensVencedores_03bd3055-2503-4caf-9d4a-12c8e3075d1a.csv
21.491.761/0001-63;38307;ConstruÃ§Ã£o de uma Unidade BÃ¡sica de SaÃºde - UBS (Porte II),;1;MC FARIAS EMPREENDIMENTOS EIRELI;1.0;SER;1285057.8;973129.29;1285057.8;973129.29;itensVencedores_060d646d-0b6b-494e-94b2-e1f7a21a0604.csv
10.599.044/0001-33;10379319;ContrataÃ§Ã£o de empresa para realizaÃ§Ã£o dos serviÃ§os necessÃ¡r;1;CONSONI CONSTRUCOES LTDA;1.0;SV;428225.64;367000.0;428225.64;367000.0;itensVencedores_0660e160-b4f7-4253-8b65-b26fbcf19b47.csv
82.381.815/0001-22;10366035;ASFALTO DILUÃDO CM-30;2;CBB INDUSTRIA E COMERCIO DE ASFALTOS E ENGENHARIA LTDA;1000.0;KG;6511410.0;6199620.0;6511.41;6199.62;itensVencedores_06a8541b-69a4-4aaf-9515-ae6c4eb039a5.csv
01.382.022/0001-26;10377233;Cimento AsfÃ¡ltico de petrÃ³leo - CAP 50-70;1;COMPASA DO BRASIL DISTRIBUIDORA DE DERIVADOS DE PETROLEO LTDA;3350.0;KG;14481078.5;12907550.0;4322.71;3853.0;itensVencedores_06a8541b-69a4-4aaf-9515-ae6c4eb039a5.csv
83.669.614/0001-98;10378618;Tubo dreno cor preto, corrugado, espiralado, flexÃ­vel, perfu;1;TIMACO TIJOLOS MATERIAL DE CONSTRUCOES LTDA;3000.0;M;19230.0;17700.0;6.41;5.9;itensVencedores_072493b7-13ed-4e54-befc-aab8977a92d4.csv
83.669.614/0001-98;10377492;GEOTÃXTIL NÃO TECIDO AGULHADO DE FILAMENTOS CONTÃNUOS 100% P;2;TIMACO TIJOLOS MATERIAL DE CONSTRUCOES LTDA;1500.0;M2;16965.0;15600.0;11.31;10.4;itensVencedores_072493b7-13ed-4e54-befc-aab8977a92d4.csv
00.247.513/0001-00;10378893;FILAMENTO IMPRESSÃO 3D;6;LIPAPER LIVRARIA INF. E PAPELARIA LTDA.;20.0;UND;2372.6;2200.0;118.63;110.0;itensVencedores_0726ba24-2d48-4c48-9ca6-1dbdbc944992.csv
04.572.854/0001-01;10373440;SISTEMA OPERACIONAL;1;DAT INFORMATICA LTDA ME;35.0;UND;44560.95;33880.0;1273.17;968.0;itensVencedores_0726ba24-2d48-4c48-9ca6-1dbdbc944992.csv
04.572.854/0001-01;30400984;Projetor MultimÃ­dia;11;DAT INFORMATICA LTDA ME;1.0;UND;2775.72;2240.0;2775.72;2240.0;itensVencedores_0726ba24-2d48-4c48-9ca6-1dbdbc944992.csv
28.259.633/0001-38;10373611;COMPUTADOR COMPLETO;3;3IP FULL RETAIL LTDA;28.0;UND;77644.0;77560.0;2773.0;2770.0;itensVencedores_0726ba24-2d48-4c48-9ca6-1dbdbc944992.csv
28.259.633/0001-38;10369914;TABLET;4;3IP FULL RETAIL LTDA;15.0;UND;11539.95;8730.0;769.33;582.0;itensVencedores_0726ba24-2d48-4c48-9ca6-1dbdbc944992.csv
28.259.633/0001-38;10378892;IMPRESSORA 3D;5;3IP FULL RETAIL LTDA;2.0;UND;8390.74;6488.0;4195.37;3244.0;itensVencedores_0726ba24-2d48-4c48-9ca6-1dbdbc944992.csv
28.259.633/0001-38;10378894;KIT TECLADO E MOUSE;7;3IP FULL RETAIL LTDA;200.0;UND;20546.0;17140.0;102.73;85.7;itensVencedores_0726ba24-2d48-4c48-9ca6-1dbdbc944992.csv
28.259.633/0001-38;10378896;MESA INTERATIVA DIGITAL;9;3IP FULL RETAIL LTDA;1.0;UND;13066.66;13066.66;13066.66;13066.66;itensVencedores_0726ba24-2d48-4c48-9ca6-1dbdbc944992.csv
28.259.633/0001-38;10373827;"NOTEBOOK;";10;3IP FULL RETAIL LTDA;2.0;UND;8095.32;7118.0;4047.66;3559.0;itensVencedores_0726ba24-2d48-4c48-9ca6-1dbdbc944992.csv
24.764.386/0001-76;10373611;COMPUTADOR COMPLETO;2;CONNECT INFO SERVICO E COMERCIO DE ARTIGOS DE INFO;119.0;UND;329987.0;321300.0;2773.0;2700.0;itensVencedores_0726ba24-2d48-4c48-9ca6-1dbdbc944992.csv
00.127.072/0001-02;10378895;LOUSA DIGITAL;8;STANDARD AUDIOVISUAIS LTDA;1.0;UND;15113.0;14929.03;15113.0;14929.03;itensVencedores_0726ba24-2d48-4c48-9ca6-1dbdbc944992.csv
06.269.942/0001-56;0;;1;CASTELAN INDUSTRIA E COMERCIO DE CONFECCOES LTDA;608.0;;11856.0;11794.9;19.5;19.3995;itensVencedores_076401e4-f7bb-4ae0-a0fa-6c81b10ead50.csv
06.269.942/0001-56;0;;2;CASTELAN INDUSTRIA E COMERCIO DE CONFECCOES LTDA;608.0;;15564.8;12402.96;25.6;20.3996;itensVencedores_076401e4-f7bb-4ae0-a0fa-6c81b10ead50.csv
06.269.942/0001-56;0;;3;CASTELAN INDUSTRIA E COMERCIO DE CONFECCOES LTDA;8.0;;1032.0;1021.58;129.0;127.6974;itensVencedores_076401e4-f7bb-4ae0-a0fa-6c81b10ead50.csv
06.269.942/0001-56;0;;4;CASTELAN INDUSTRIA E COMERCIO DE CONFECCOES LTDA;540.0;;19386.0;19115.62;35.9;35.3993;itensVencedores_076401e4-f7bb-4ae0-a0fa-6c81b10ead50.csv
06.269.942/0001-56;0;;5;CASTELAN INDUSTRIA E COMERCIO DE CONFECCOES LTDA;540.0;;42660.0;42929.14;79.0;79.4984;itensVencedores_076401e4-f7bb-4ae0-a0fa-6c81b10ead50.csv
