descricao;idItem;numero;quantidade;situacao;unidadeMedida;valorTotal;valorUnitario;origem_arquivo
PAINEL DE LED INDDOR 4X2;1306883;23;10;ATIVO;DIARIA;40471.3;4047.13;itens_015ce3e9-f294-4a01-90cc-d4ac62fabae1.csv
ILUMINIÃÃO GRANDE PORTE;1310912;17;3;ATIVO;DIARIA;18145.38;6048.46;itens_015ce3e9-f294-4a01-90cc-d4ac62fabae1.csv
IluminaÃ§Ã£o porte mÃ©dio;1312891;18;9;ATIVO;UNIDADE;21614.4;2401.6;itens_015ce3e9-f294-4a01-90cc-d4ac62fabae1.csv
ILUMINAÃÃO PEQUENO PORTE;1315070;19;15;ATIVO;DIARIA;22014.6;1467.64;itens_015ce3e9-f294-4a01-90cc-d4ac62fabae1.csv
SONORIZAÃÃO  GRANDE;1315074;20;3;ATIVO;DIÃRIA;17344.86;5781.62;itens_015ce3e9-f294-4a01-90cc-d4ac62fabae1.csv
SONORIZAÃÃO   MÃDIO;1317104;21;9;ATIVO;DIÃRIA;21614.4;2401.6;itens_015ce3e9-f294-4a01-90cc-d4ac62fabae1.csv
SONORIZAÃÃO  PEQUENO;1317105;22;30;ATIVO;DIÃRIA;42695.1;1423.17;itens_015ce3e9-f294-4a01-90cc-d4ac62fabae1.csv
REFRIGERADOR TIPO DOMÃSTICO na cor branca;1264675;1;20;ATIVO;UNIDADE;36000.0;1800.0;itens_021649b6-08a8-4938-9985-fb04e9254822.csv
Blocos de concreto prÃ©-moldado, modelo sextavado, 30 x 30 cm;1298333;2;2015;ATIVO;METRO QUADRADO;78585.0;39.0;itens_05384662-fbe8-4361-89a7-cdadfd97a266.csv
Desinfetante de uso geral 5 Litros.;1308453;2;1487;ATIVO;GALAO;17844.0;12.0;itens_05c97204-9b3a-4caf-a9a2-76af9853753d.csv
Cera em pasta 13 quilos.;1314632;1;160;ATIVO;LATA;25760.0;161.0;itens_05c97204-9b3a-4caf-a9a2-76af9853753d.csv
Desinfetante de uso geral 5 Litros.;1316698;3;4463;ATIVO;GALAO;53556.0;12.0;itens_05c97204-9b3a-4caf-a9a2-76af9853753d.csv
Lima tipo K nÂº 10 de 25 mm;1265038;300;30;ATIVO;CAIXA;495.0;16.5;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Lima tipo K nÂº 10 de 21 mm;1265039;299;30;ATIVO;CAIXA;495.0;16.5;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Lima tipo K nÂº 10 de 31 mm;1265040;293;50;ATIVO;CAIXA;825.0;16.5;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Lima Reciprocante para tratamento de canal 06 com 25mm;1265041;292;50;ATIVO;CAIXA;8675.0;173.5;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Lima Reciprocante para tratamento de canal 06 com 21mm;1265042;291;50;ATIVO;CAIXA;8675.0;173.5;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Lima Reciprocante para tratamento de canal 07 com 21mm;1265043;289;50;ATIVO;CAIXA;8675.0;173.5;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Lima Reciprocante p/ tratamento de canal 3 limas C/ pont 20;1265044;288;50;ATIVO;CAIXA;8675.0;173.5;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Lima Reciprocante wave one gold;1265045;287;50;ATIVO;CAIXA;8675.0;173.5;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Lima Flex-file nÂº 15 de 21 mm;1265046;275;50;ATIVO;CAIXA;862.5;17.25;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Lima Flex-file nÂº 20 de 25 mm;1265047;279;30;ATIVO;CAIXA;517.5;17.25;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Lima Flex-file nÂº 20 de 21 mm;1265048;278;30;ATIVO;CAIXA;517.5;17.25;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Lima Flex-file nÂº 15 de 31 mm;1265049;277;40;ATIVO;CAIXA;690.0;17.25;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Lima Flex-file nÂº 15 de 25 mm;1265050;276;40;ATIVO;CAIXA;690.0;17.25;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Lima Flex-file 1Âª sÃ©rie nÂº 15 a 40 de 31 mm;1265051;274;40;ATIVO;CAIXA;690.0;17.25;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Lima Flex-file 1Âª sÃ©rie nÂº 15 a 40 de 25 mm;1265052;273;40;ATIVO;CAIXA;690.0;17.25;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Lima tipo K nÂº 8 de 21 mm;1265053;301;30;ATIVO;CAIXA;495.0;16.5;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Lima Flex-file 1Âª sÃ©rie nÂº 15 a 40 de 21 mm;1265054;272;40;ATIVO;CAIXA;690.0;17.25;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Lima Flex-file nÂº 20 de 31 mm;1265055;280;30;ATIVO;CAIXA;517.5;17.25;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
LUVAS LÃTEX, TAMANHO P;1265056;307;300;ATIVO;CAIXA;5820.0;19.4;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
AntissÃ©ptico Bucal Periogard;1265057;390;90;ATIVO;FRASCO;5323.5;59.15;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
