tipo;data;meioDivulgacao;origem_arquivo
Extrato;2019-07-20;Internet;publicacoes_012e86b8-e1c0-4353-98f8-6b856bfd4d5c.csv
Extrato;2019-12-20;Internet;publicacoes_01387d9b-aecd-4c39-919d-e83060bbc6ce.csv
Extrato;2019-05-02;Internet;publicacoes_022b104c-3a75-4692-ac4a-7132792dd2fb.csv
Extrato;2019-04-17;Internet;publicacoes_0267e0fe-8f4e-4b09-a196-e75b15cd72d5.csv
Extrato;2019-08-20;Internet;publicacoes_03e40840-db66-4264-8e65-4743ce531bff.csv
Extrato;2019-09-20;Internet;publicacoes_05912263-f1f9-4538-a93a-226ca41bce62.csv
Extrato;2019-02-20;Internet;publicacoes_05c2eb61-298b-4f71-8cf8-0c40bd4f27fa.csv
Extrato;2020-01-20;Internet;publicacoes_06930aff-d293-4ee5-81d5-507e1ebb1963.csv
Extrato;2021-01-20;DiÃ¡rio oficial do municÃ­pio;publicacoes_0698b7dd-eec4-4213-a4e2-13cd60275492.csv
Extrato;2019-10-18;DiÃ¡rio oficial do municÃ­pio;publicacoes_07ec9004-50cc-44a8-8c6d-3eec109427e0.csv
Extrato;2019-10-20;Internet;publicacoes_0a231532-9787-4ca7-872e-cef1c5bcb235.csv
Extrato;2019-06-04;Internet;publicacoes_0ac0e3f9-3ca5-48c5-8949-ab5de988113b.csv
Extrato;2019-03-29;Internet;publicacoes_10098f6c-f1d6-4f06-a395-9c92ce40bb49.csv
Extrato;2019-02-28;Internet;publicacoes_1009aa9b-7efa-417f-b59a-3794465c2d6e.csv
Extrato;2019-05-09;Internet;publicacoes_12062260-9f51-4617-a177-62100e5c2e0a.csv
Extrato;2019-04-01;Internet;publicacoes_128f502c-ee47-4259-b68c-ad7741917333.csv
Extrato;2019-11-20;Internet;publicacoes_1617aec9-e483-4203-8f9f-9a3b96e75ab3.csv
Extrato do Contrato;2019-07-20;Internet;publicacoes_203f6a97-c6c7-410d-9693-518fc3326f0c.csv
Extrato;2020-01-20;DiÃ¡rio Oficial EletrÃ´nico;publicacoes_26807f18-2aaf-46f8-b3fc-d775b2e33a6c.csv
Extrato;2019-05-20;Internet;publicacoes_283d4118-e880-4c85-84c1-cfc86b6ece22.csv
Extrato do Contrato;2019-11-20;Internet;publicacoes_2b23c5d9-e2b1-4710-b589-49bd1af9bfe4.csv
Extrato;2019-03-20;Internet;publicacoes_343f0485-ab96-405b-abfd-999230a63b75.csv
Extrato;2019-04-20;Internet;publicacoes_3b37cb40-2ca1-4e0c-ac2f-cad7228f4918.csv
Extrato;2019-06-14;Internet;publicacoes_49816e42-e09f-46f0-8193-800699804827.csv
Extrato do Contrato;2019-06-04;Internet;publicacoes_6c5ade20-a259-4d2e-ab8d-ba35d716f765.csv
Extrato do Contrato;2019-10-20;Internet;publicacoes_7240301f-46a8-499e-90eb-0a139d1725bb.csv
Extrato;2019-12-17;Internet;publicacoes_7f1ce136-c081-4c1c-9488-5799578a8fbf.csv
Extrato;2019-07-16;Internet;publicacoes_7f301dcb-4f0c-4765-8d7b-2c464234a466.csv
Extrato do Contrato;2019-12-20;Internet;publicacoes_7f69942a-e91b-4215-9822-5e58cf1376e3.csv
Extrato;2019-05-21;Internet;publicacoes_9b5b8384-1087-4408-9741-2877ceb7f7c7.csv
Extrato;2019-05-14;Mural pÃºblico;publicacoes_a03d8d42-818b-40b3-a718-6eb4b462940e.csv
Extrato;2019-06-20;Internet;publicacoes_abaa50eb-4536-4b06-ae85-5eee4037ee36.csv
Aditivo;2021-09-20;DiÃ¡rio oficial do municÃ­pio;publicacoes_b0fdc0fa-edc5-4612-83d5-dff1406c0d6a.csv
Extrato;2020-02-20;Internet;publicacoes_b20749f6-c971-4fa3-a035-a515a8bd580c.csv
Aditivo;2019-12-02;Internet;publicacoes_bd3cab67-9621-4602-9c20-9ea5bc8ed96a.csv
Extrato do Contrato;2019-08-20;Internet;publicacoes_c4476a14-24db-4922-900f-bb965385f468.csv
Aditivo;2019-12-20;Internet;publicacoes_c4476a14-24db-4922-900f-bb965385f468.csv
Extrato;2019-07-17;Internet;publicacoes_c7f06eb2-bbe4-4fbf-83a0-04c7f1c36056.csv
Extrato;2019-08-19;DiÃ¡rio oficial do municÃ­pio;publicacoes_d803db2f-6064-4a7e-853d-cbb3759911f1.csv
Aditivo;2020-04-20;Internet;publicacoes_d9f91580-344d-4212-aaa2-e7a00dba417d.csv
Aditivo;2020-08-20;Internet;publicacoes_d9f91580-344d-4212-aaa2-e7a00dba417d.csv
Extrato;2020-01-20;DiÃ¡rio oficial do municÃ­pio;publicacoes_e9db702e-2bb8-4728-8bb2-13ddb73acaea.csv
