descricao;id;quantidade;situacao;unidadeMedida;valorTotal;valorUnitario;origem_arquivo
serviÃ§os de manutenÃ§Ã£o corretiva e suporte tÃ©cnico em TABLET;0;1000;VENCEU; ;84000;84;itensProposta_441cf0e1-134a-47f1-84d3-74f7232b1311.csv
ColocaÃ§Ã£o, substituiÃ§Ã£o ou reparos de pisos, azulejos, calÃ§a;4399655;1;PERDEU;SV;1237968.3;1237968.3;itensProposta_443aad00-0132-4c57-91f8-a4bbd450587c.csv
GuarniÃ§Ã£o Silicone 9,0x11mm;4443102;6;VENCEU;MT;390;65;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Valvula de SeguranÃ§a Termostatica para autoclave AHMC5 e AHM;4443103;5;VENCEU;UNI;225;45;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Rele de Estado Solido 40A d e 200-240 V p/ autoclave AHMC10;4443104;2;VENCEU;UN;1100;550;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
LÃ¢mpada de LED Par 20 220V 7W - E27 para foco ginecolÃ³gico;4443105;25;VENCEU;UN;1350;54;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
LÃ¢mpada dicrÃ³ica 15V - 150W GZ6,35 para ColposcÃ³pio DF Vasco;4443106;4;VENCEU;UNI;480;120;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Sensor tipo Soft adulto compativel com monitor modelo DX2022;4443107;2;VENCEU;UN;764.4;382.2;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Valvula de SeguranÃ§a 1/4 BSP Calibrada em 43 PSI para autocl;4443108;3;VENCEU;UNI;510;170;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
LÃ¢mpada 3V;4443109;35;VENCEU;UN;3052;87.2;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
BraÃ§adeira de nylon com velcro adulto com manguito em pvc 2;4443110;200;VENCEU;UNI;5040;25.2;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Cabo flexivel 2 x 0,20mm RCA emborrachado;4443111;30;VENCEU;MT;450;15;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
PÃªra de LÃ¡tex para EsfigmomanÃ´metro;4443112;80;VENCEU;UNI;664;8.3;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
VÃ¡vula de deflaÃ§Ã£o com regulador para EsfigmomanÃ´metro;4443113;80;VENCEU;UNI;800;10;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Transdutor 2MHz para detector fetal DF-7000/DF-7001 da Medpe;4443114;4;VENCEU;UN;1380;345;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Rele de Estado Solido 10A de 200-240 V p/ autoclave AHMC5, S;4443115;4;VENCEU;UN;970;242.5;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
ResistÃªncia tipo W - 220 V - 2200 W para autoclave AHMC10,;4443116;2;VENCEU;UN;630;315;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
GuarniÃ§Ã£o de silicone para Autoclave AHMC5 e AHMC10, Sercon;4443117;10;VENCEU;UN;1164;116.4;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Placa de Comando padrÃ£o  modelos com reservatÃ³rio da linha T;4443118;2;VENCEU;UNI;2840;1420;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Sensor de temperatura tipo PT-100 bulbo liso para Autoclave;4443119;2;VENCEU;UNI;590;295;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Cabo de ECG 10 Vias compativel com eletrocardiÃ³grafo EP-12,;4443120;1;VENCEU;UN;980;980;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Caneta monopolar autoclavavel para bisturi elÃ©trico com coma;4443121;15;VENCEU;UN;4656;310.4;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
LÃ¢mpada 2,5V- Ref. 01200 p/ oftalmoscÃ³pio da Welch Allyn;4443122;2;VENCEU;UN;740;370;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
LÃ¢mpada 12V / 30W - Ref. 64260;4443123;4;VENCEU;UN;729.2;182.3;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
kit com 06 Eletrodos tipo Pera de silicone adulto para ECG;4443124;2;VENCEU;KIT;560;280;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
kit de Eletrodos tipo Clip adulto com 4 un. para ECG;4443125;2;VENCEU;KIT;490;245;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Membrana Osmose Reversa TW30-1812-100;4443126;1;VENCEU;UN;386.1;386.1;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Elemento Filtrante Polipropileno Liso 10x2.1/2x5;4443127;12;VENCEU;UNI;696;58;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Elemento Filtrante CarvÃ£o ativado 10x2.1/2x5;4443128;12;VENCEU;UNI;780;65;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Transdutor para detector fetal MS101, Sigmed;4443129;3;VENCEU;UNI;756.6;252.2;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Transdutor para detector fetal DF-4000, Medpej;4443130;3;VENCEU;UNI;810;270;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Placa  Eletronica para Detector Fetal DF 4000 Medpej / Marte;4443131;2;VENCEU;UNI;617.7;308.85;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Bateria recarregÃ¡vel de NICAD 3,5V para otoscÃ³pio modelo 723;4443132;2;VENCEU;UN;760.5;380.25;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
LÃ¢mpada MACRO 1019 Para LÃ¢mpada de Fenda;4443133;4;VENCEU;UNI;1360;340;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Cabo de ECG 5 vias compatÃ­vel com monitor Dixtal;4443134;1;VENCEU;UN;415;415;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
CÃ©lula de Carga para balanÃ§a digital atÃ© 250Kg;4443135;4;PERDEU;UNI;1980;495;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
Celula de Carga SLP-30 Kg;4443136;4;PERDEU;UNI;760;190;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
LÃ¢mpada infravermelho 220 V - 150 W para fisioterapia;4443137;4;VENCEU;UNI;692.6;173.15;itensProposta_44f33c19-bd78-4443-85f9-b8a321c08726.csv
